Product,Manufacturer,Status,Indication
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"as monotherapy for the adjuvant treatment of adult patients with Stage IB (T2a 4 cm), II, or IIIA NSCLC, and with PD-L1 tumor proportion score (TPS) less than 50% who have undergone complete resection and platinum-based chemotherapy."
Nextstellis(estétrol (monohydrate d')/drospirénone),Searchlight Pharma Inc.,Concluded with an LOI,Prevention of Pregnancy
Zilbrysq(zilucoplan),UCB Canada Inc.,Active Negotiation,Generalized myasthenia gravis (gMG)
Xtandi(enzalutamide),Astellas Pharma Inc.,Concluded with an LOI,​For the treatment of patients with non-metastatic castration-sensitive prostate cancer (nmCSPC) with biochemical recurrence at high risk of metastasis (high-risk BCR)
Ryaltris(olopatadine hydrochloride and mometasone),"Bausch Health, Canada Inc.",Under consideration for negotiation,Seasonal allergic rhinitis
Venclexta(venetoclax),AbbVie Corporation,Concluded with an LOI,"for the treatment of adult patients with previously untreated chronic lymphocytic leukemia (CLL), including those with 17p deletion (in combination with Imbruvica)"
Remsima SC(infliximab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Rheumatoid Arthritis
Rybrevant(amivantamab),Janssen Inc.,Active Negotiation,In combination with carboplatin and pemetrexed for the first-line treatment of adult patients with locally advanced (not amenable to curative therapy) or metastatic non-small cell lung cancer (NSCLC) with activating epidermal-growth factor receptor (EGFR) exon 20 insertion mutations.
Balversa(erdafitinib),Janssen Inc.,Active Negotiation,"Adult patients with locally advanced unresectable or metastatic urothelial carcinoma (UC), harbouring susceptible fibroblast growth factor receptor (FGFR)3 genetic alterations, who have disease progression during or following at least one line of prior therapy including within 12 months of neoadjuvant or adjuvant therapy."
Ojjaara(momelotinib),GlaxoSmithKline Inc.,Active Negotiation,"For the treatment of splenomegaly and/or disease-related symptoms, in adult patients with intermediate or high-risk primary myelofibrosis (MF), post polycythemia vera myelofibrosis or post essential thrombocythemia MF who have moderate to severe anemia."
Casgevy(exagamglogene autotemcel),Vertex Pharmaceuticals (Canada) Incorporated,Under consideration for negotiation,Sickle cell disease
Casgevy(exagamglogene autotemcel),Vertex Pharmaceuticals (Canada) Incorporated,Under consideration for negotiation,Transfusion-dependent β-thalassemia
Ultomiris(ravulizumab),Alexion Pharma GmbH,Active Negotiation,Generalized myasthenia gravis (gMG)
Spevigo(spesolimab),Boehringer Ingelheim (Canada) Ltd.,Under consideration for negotiation,generalized pustular psoriasis (GPP)
Ferinject(ferric carboxymaltose),CSL Vifor,Under consideration for negotiation,Iron Deficiency Anemia
Ferinject(ferric carboxymaltose),CSL Vifor,Under consideration for negotiation,Iron deficiency in adult patients with heart failure
Venclexta(venetoclax),AbbVie Corporation,Active Negotiation,"In combination with Gazyva, for the treatment of patients with previously untreated chronic lymphocytic leukemia"
Padcev(enfortumab vedotin),Pfizer Canada ULC,Active Negotiation,"In combination with pembrolizumab, for the treatment of adult patients with unresectable locally advanced or metastatic urothelial cancer (mUC) with no prior systemic therapy for mUC."
Fruzaqla(fruquintinib),Takeda Canada Inc.,Active Negotiation,"For the treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with or are not considered candidates for available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy, an anti-VEGF agent, an anti-EGFR agent (if RAS wild-type), and either trifluridine-tipiracil or regorafenib."
Talvey(talquetamab),Janssen Inc.,Under consideration for negotiation,"For the treatment of adult patients with relapsed or refractory multiple myeloma who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 monoclonal antibody, and have demonstrated disease progression on or after the last therapy."
Winlevi(clascoterone),Sun Pharma Canada Inc.,Under consideration for negotiation,Acne Vulgaris
Ayvakyt( avapritinib),Medison Pharma Canada Inc.,Active Negotiation,Advanced Systemic Mastocytosis
Alecensaro(alectinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,Adjuvant treatment following tumor resection for patients with anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC).
Carvykti(ciltacabtagene autoleucel),Janssen Inc.,Active Negotiation,"For the treatment of adult patients with multiple myeloma, who have received 1 to 3 prior lines of therapy including a proteasome inhibitor and an immunomodulatory agent, and who are refractory to lenalidomide."
Filra(filgrastim),Jamp Pharma Corporation,Active Negotiation,Multiple Indications
Winrevair(sotatercept),Merck Canada Inc.,Active Negotiation,Pulmonary Arterial Hypertension (WHO group 1)
Wainua(eplontersen),AstraZeneca Canada Inc.,Concluded with an LOI,Polyneuropathy in hereditary transthyretin-mediated amyloidosis
Cabtreo(clindamycin plus benzoyl peroxide and adapalene),"Bausch Health, Canada Inc.",Concluded with an LOI,Acne Vulgaris
Voydeya(danicopan),Alexion Pharma GmbH,Active Negotiation,Paroxysmal nocturnal hemoglobinuria (PNH)
Trikafta(elexacaftor/tezacaftor/ivacaftor and ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,"Cystic fibrosis, F508del or responsive CFTR mutation, 2 years and older"
Libtayo(cemiplimab),Regeneron,Concluded with an LOI,"Non-small cell lung cancer (NSCLC) expressing PD-L1 in ≥ 50% of tumour cells (Tumour Proportion Score [TPS] ≥ 50%), as determined by a validated test, with no EGFR, ALK or ROS1 aberrations, first-line treatment of adult patients who have locally advanced NSCLC who are not candidates for surgical resection or definitive chemoradiation, or metastatic NSCLC"
Libtayo(cemiplimab),Regeneron,Concluded with an LOI,For the treatment of patients with locally advanced basal cell carcinoma (BCC) previously treated with a hedgehog pathway inhibitor
Tibsovo(ivosidenib),Servier Canada Inc.,Active Negotiation,In combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) with an isocitrate dehydrogenase-1 (IDH1) R132 mutation who are not eligible to receive intensive induction chemotherapy
Tagrisso(osimertinib),AstraZeneca Canada Inc.,Concluded with an LOI,"In combination with pemetrexed and platinum-based chemotherapy for the first-line treatment of patients with locally advanced (not amenable to curative therapies), or metastatic NSCLC whose tumours have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations"
Verzenio(abemaciclib),Eli Lilly Canada Inc.,Concluded with an LOI,"​In combination with endocrine therapy for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, early breast cancer at high risk of disease recurrence based on clinicopathological features"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"In combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adult patients with locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma."
Osenvelt(denosumab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Multiple Indications
Omlyclo(omalizumab),Celltrion Healthcare Canada Ltd.,Active Negotiation,Multiple Indications
Stoboclo(denosumab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Multiple Indications
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Neoadjuvant-adjuvant treatment ofadult patients with stage III or stage IV melanoma
Cosentyx(secukinumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Hidradenitis Suppurativa
Olumiant(baricitinib),Eli Lilly Canada Inc.,Under consideration for negotiation,"Alopecia areata, severe"
Adcetris(brentuximab vedotin ),Pfizer Canada ULC,Concluded with an LOI,Hodgkin's Lymphoma
Truqap(capivasertib),AstraZeneca Canada Inc.,Concluded with an LOI,"Breast cancer, locally advanced or metastatic (HR-positive, HER2-negative)"
Ixifi(Infliximab),Pfizer Canada ULC,Concluded with an LOI,Multiple Indications
Vectibix(panitumumab),Amgen Canada Inc.,Concluded with an LOI,Metastatic Colorectal Cancer (mCRC) patients with left-sided primary tumours that express wild-type RAS (In combination with chemotherapy)
Axberi/Axberi HP(enoxaparin sodium solution for injection),Baxter Corporation,Concluded with an LOI,Thrombosis and cardiovascular conditions (prevention or treatment)
Leqvio(inclisiran),Novartis Pharmaceuticals Canada Inc.,Active Negotiation,Primary hypercholesterolemia
Vraylar(cariprazine),AbbVie Corporation,Concluded with an LOI,Schizophrenia
Velsipity(Etrasimod),Pfizer Canada ULC,Concluded with an LOI,Ulcerative Colitis
Veklury(remdesivir),Gilead Sciences Canada Inc.,Concluded with an LOI,COVID-19 in hospitalized patients
Veklury(remdesivir),Gilead Sciences Canada Inc.,Concluded with an LOI,COVID-19 in non-hospitalized patients
Apretude(cabotegravir),ViiV Healthcare,Concluded with an LOI,"HIV-1 infection, pre-exposure prophylaxis"
Ebglyss(lebrikizumab),Eli Lilly Canada Inc.,Active Negotiation,Atopic dermatitis
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Renal Cell Carcinoma (RCC), advanced (not amenable to curative surgery or radiation therapy) or metastatic, first-line treatment of adult patients (in combination with nivolumab)"
Teva Naloxone Nasal Spray(naloxone hydrochloride),Teva Canada Ltd.,Concluded with an LOI,"Opioid overdose, known or suspected, for emergency use"
Crysvita(burosumab),"Kyowa Kirin Canada, Inc.",Active Negotiation,X-Linked Hypophosphatemia
Qulipta(atogepant),AbbVie Corporation,Concluded with an LOI,"Migraine, prevention"
Tyenne(tocilizumab),Fresenius Kabi Canada Ltd.,Concluded with an LOI,Multiple Indications
Maviret(glecaprevir/pibrentasvir granules),AbbVie Corporation,Concluded with an LOI,Chronic Hepatitis C (Pediatric)
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Gastric or gastroesophageal junction (GEJ) adenocarcinoma in adult patients, locally advanced unresectable or metastatic, HER2‑positive, first-line treatment in combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy, whose tumors express PD-L1 [Combined Positive Score (CPS) ≥1] as determined by a validated test"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Biliary tract carcinoma (BTC) in adult patients, locally advanced unresectable or metastatic, in combination with chemotherapy"
Rybrevant(amivantamab),Janssen Inc.,Negotiations were not pursued,"Non-small cell lung cancer (NSCLC), Locally advanced or metastatic, in adult patients with activating epidermal-growth factor receptor (EGFR) Exon 20 insertion mutations whose disease has progressed on, or after platinum-based chemotherapy"
Remsima SC(infliximab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Crohn's disease
Repatha(evolocumab),Amgen Canada Inc.,Active Negotiation,Atherosclerotic cardiovascular disease
Fulphila(pegfilgrastim),Biocon Biologics Canada Inc.,Concluded with an LOI,Febrile neutropenia in non-myeloid malignancies
Pexegra(pegfilgrastim),Jamp Pharma Corporation,Active Negotiation,Febrile neutropenia in non-myeloid malignancies
Orgovyx(relugolix),"Sumitomo Pharma Canada, Inc.",Concluded with an LOI,Advanced prostate cancer
Elrexfio(elranatamab),Pfizer Canada ULC,Concluded without agreement,"Multiple myeloma, relapsed or refractory, in adult patients who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 monoclonal antibody, and who have demonstrated disease progression on the last therapy"
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Stage IIB or IIC melanoma following complete resection, monotherapy for the adjuvant treatment of adult patients"
Bimzelx(bimekizumab),UCB Canada Inc.,Concluded with an LOI,Psoriatic Arthritis
Bimzelx(bimekizumab),UCB Canada Inc.,Concluded with an LOI,Ankylosing spondylitis
Awiqli(insulin icodec),Novo Nordisk Canada Inc.,Active Negotiation,"Diabetes Mellitus, Type 2"
Epkinly (concluded with pTAP LOI)(epcoritamab),AbbVie Corporation,Concluded with an LOI,"Diffuse large B-cell lymphoma not otherwise specified (DLBCL NOS) Relapsed or refractory , DLBCL transformed from indolent lymphoma, high grade B-cell lymphoma (HGBCL), primary mediastinal B-cell lymphoma (PMBCL) or follicular lymphoma Grade 3B (FLG3b), in adult patients, after two or more lines of systemic therapy and who have previously received or are unable to receive CAR-T cell therapy."
Tecentriq SC(atezolizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Multiple Indications
Jemperli(dostarlimab),GlaxoSmithKline Inc.,Concluded with an LOI,Primary advanced or recurrent mismatch repair deficient (dMMR)/microsatellite instability-high (MSI-H) endometrial cancer in adult patients who are candidates for systemic therapy (in combination with carboplatin and paclitaxel)
Libtayo(cemiplimab),Regeneron,Concluded with an LOI,"in combination with platinum-based chemotherapy for the first-line treatment of adult patients with non-small cell lung cancer (NSCLC) whose tumors have no epidermal growth factor receptor (EGFR),anaplastic lymphoma kinase (ALK) or c‐ROS oncogene 1 (ROS1) aberrations and is locally advanced where patients are not candidates for surgical resection or definitive chemoradiation, or metastatic NSCLC"
Abevmy(bevacizumab),Biocon Biologics Canada Inc.,Concluded with an LOI,Multiple Indications
TBC(ustekinumab ),Sandoz Canada Inc.,Concluded with an LOI,Multiple Indications
Wyost(denosumab 120 mg/1.7 mL),Sandoz Canada Inc.,Concluded with an LOI,Multiple Indications
Epidiolex(cannabidiol),Jazz Pharmaceuticals Canada Inc.,Concluded with an LOI,Seizures associated with Tuberous Sclerosis Complex (TSC)
Epidiolex(cannabidiol),Jazz Pharmaceuticals Canada Inc.,Concluded with an LOI,Dravet Syndrome (DS)
Leqvio(inclisiran),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Primary hypercholesterolemia (non-familial and heterozygous familial) with atherosclerotic cardiovascular disease
Epidiolex(cannabidiol),Jazz Pharmaceuticals Canada Inc.,Concluded with an LOI,Lennox-Gastaut Syndrome (LGS)
Remsima SC(infliximab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Ulcerative Colitis
Hemgenix(etranacogene dezaparvovec),CSL Behring Canada Inc.,Active Negotiation,Hemophilia B
Tecvayli(teclistamab),Janssen Inc.,Concluded with an LOI,"Multiple myeloma, relapsed or refractory, in adult patients who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 monoclonal antibody, and who have demonstrated disease progression on the last therapy"
SIR-Spheres Y-90 resin microspheres(Yttrium-90 microspheres),Sirtex Medical,Concluded with an LOI,Hepatocellular carcinoma (HCC)
TheraSphere Y-90 Glass Micropheres(Yttrium-90 microspheres),Boston Scientific Corporation,Concluded without agreement,Hepatocellular carcinoma (HCC)
Eylea HD(aflibercept 8mg/0.07mL),Bayer Inc.,Concluded with an LOI,Age-Related Macular Degeneration
Eylea HD(aflibercept 8mg/0.07mL),Bayer Inc.,Concluded with an LOI,Diabetic Macular Edema
Uplizna(inebilizumab),Horizon Therapeutics Canada,Concluded with an LOI,Neuromyelitis optica spectrum disorder (NMOSD)
Slynd(drospirenone),Duchesnay Inc.,Concluded with an LOI,"Contraceptive, oral"
Ultomiris(ravulizumab),Alexion Pharma GmbH,Active Negotiation,Neuromyelitis optica spectrum disorder (NMOSD)
Steqeyma(ustekinumab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,Multiple Indications
Veklury(remdesivir),Gilead Sciences Canada Inc.,Concluded with an LOI,COVID-19
Lonsurf(trifluridine/tipiracil),Taiho Pharma Canada Inc.,Concluded with an LOI,"Metastatic colorectal cancer in adult patients who have been previously treated with, or are not candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-VEGF biological agents, and, if RAS wild-type, anti-EGFR agents. ( in combination with bevacizumab)"
Myalepta(metreleptin),Medison Pharma Canada Inc.,Active Negotiation,Leptin deficiency in lipodystrophy
Trecondyv(treosulfan),"Medexus Pharmaceuticals, Inc.",Concluded with an LOI,As part of conditioning treatment prior to allogeneic hematopoietic stem cell transplantation (alloHSCT) in adult patients with AML or MDS at increased risk for standard conditioning therapies (In combination with fludarabine)
Suboxone (film)(buprenorphine and naloxone),Indivior UK Limited,Concluded with an LOI,Opioid Dependence
Beqvez(fidanacogene elaparvovec),Pfizer Canada ULC,Concluded without agreement,"Hemophilia B (congenital Factor IX deficiency) in adults (aged 18 years or older), moderately severe to severe, who are negative for neutralizing antibodies to variant AAV serotype Rh74"
Rezurock(belumosudil),Sanofi-Aventis Canada Inc.,Active Negotiation,"Chronic graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older, after failure of at least two prior lines of systemic therapy."
Paxlovid(nirmatrelvir/ritonavir),Pfizer Canada ULC,Concluded with an LOI,"Mild-to-moderate COVID-19, treatment"
Columvi(glofitamab),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Diffuse large B-cell lymphoma not otherwise specified (DLBCL NOS), relapsed or refractory, DLBCL arising from follicular lymphoma (trFL), or primary mediastinal B-cell lymphoma (PMBCL), who have received two or more lines of systemic therapy and are ineligible to receive or cannot receive CAR-T cell therapy or have previously received CAR-T cell therapy, in adult patients"
Polivy(Polatuzumab Vedotin),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (NOS), high grade B-cell lymphoma, Epstein-Barr virus-positive (EBV+) DLBCL NOS, and T-cell/histiocyte rich LBCL, previously untreated in adult patients. (in combination with rituximab, cyclophosphamide, doxorubicin, and prednisone (R-CHP))"
Opdualag(nivolumab and relatlimab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Unresectable or metastatic melanoma in adult and pediatric patients 12 years of age or older who have not received prior systemic therapy for unresectable or metastatic melanoma
Trodelvy(sacituzumab govitecan),Gilead Sciences Canada Inc.,Concluded with an LOI,"Breast cancer, unresectable locally advanced or metastatic, HR-positive, HER2-negative (IHC 0, IHC 1+, or IHC 2+/ISH-) in adult patients who have received endocrine-based therapy and at least two additional systemic therapies in the metastatic setting"
Lynparza(olaparib),AstraZeneca Canada Inc.,Concluded with an LOI,Metastatic castration-resistant prostate cancer (mCRPC) in adult patients (in combination with abiraterone and prednisone or prednisolone)
Akeega(niraparib abiraterone acetate),Janssen Inc.,Concluded with an LOI,"Deleterious or suspected deleterious BRCA mutated (germline and/or somatic) metastatic castration resistant prostate cancer (mCRPC) in adult patients who are asymptomatic/mildly symptomatic, and in whom chemotherapy is not clinically indicated. (in combination with prednisone or prednisolone)"
Amvuttra(vutrisiran),Alnylam Netherlands B.V.,Concluded with an LOI,Hereditary transthyretin-mediated amyloidosis
Bylvay(odevixibat),Medison Pharma Canada Inc.,Active Negotiation,Pruritus in patients aged 6 months or older with progressive familial intrahepatic cholestasis (PFIC).
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Crohn's disease
Doptelet(avatrombopag),Sobi Canada Inc.,Negotiations were not pursued,Chronic Immune Thrombocytopenia
Imbruvica(ibrutinib),Janssen Inc.,Concluded with an LOI,Waldenström's Macroglobulinemia
Asparlas(calaspargase pegol),Servier Canada Inc.,Concluded with an LOI,Acute Lymphoblastic Leukemia (ALL)
Nucala(mepolizumab),GlaxoSmithKline Inc.,Concluded with an LOI,"Severe eosinophilic asthma, add-on maintenance treatment of  in children (aged 6 years and older)"
Pemazyre(pemigatinib),Incyte Biosciences Canada Corporation,Concluded without agreement,"Unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement and a ECOG performance status of 0 to 2, Previously treated, in adults"
Adtralza(tralokinumab),LEO Pharma Inc.,Negotiations were not pursued,Atopic dermatitis
Vyvgart(efgartigimod alfa),Argenx Canada Inc.,Concluded with an LOI,Generalized myasthenia gravis (gMG)
Rybelsus(semaglutide),Novo Nordisk Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Repatha(evolocumab),Amgen Canada Inc.,Concluded with an LOI,Primary hyperlipidemia and mixed dyslipidemia
Ozempic(semaglutide),Novo Nordisk Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Atriance(nelarabine),Sandoz Canada Inc.,Negotiations were not pursued,"Intermediate- or high-risk T-cell acute lymphoblastic leukemia (T-ALL), addition to front-line multi-agent therapy of pediatric, adolescent, and young adult (AYA) patients (aged 1 year to 30 years at diagnosis)"
Octasa(mesalamine DR),"Pendopharm, a division of Pharmascience Inc.",Concluded with an LOI,Ulcerative Colitis
Livmarli(maralixibat),Mirum Pharmaceuticals Inc.,Active Negotiation,Alagille syndrome
Sogroya(somapacitan),Novo Nordisk Canada Inc.,Negotiations were not pursued,Growth hormone deficiency
Evkeeza(evinacumab),Ultragenyx Pharmaceutical Inc.,Active Negotiation,Homozygous Familial Hypercholesterolemia
Dupixent(dupilumab),Sanofi Genzyme Canada,Active Negotiation,"Atopic dermatitis, pediatrics"
Yescarta(axicabtagene ciloleucel),Gilead Sciences Canada Inc.,Concluded with an LOI,"Follicular lymphoma (FL), Relapsed or refractory, grade 1, 2 or 3a, in adult patients after two or more lines of systemic therapy"
Imfinzi and Imjudo(durvalumab and tremelimumab),AstraZeneca Canada Inc.,Concluded with an LOI,"Unresectable hepatocellular carcinoma (uHCC) in adult patients who require systemic therapy, first-line treatment"
Cabometyx(cabozantinib),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,"Renal Cell Carcinoma (RCC), advanced (not amenable to curative surgery or radiation therapy) or metastatic, first-line treatment of adult patients (in combination with nivolumab)"
Imbruvica(ibrutinib),Janssen Inc.,Concluded with an LOI,"In combination with venetoclax for the treatment of adult patients with previously untreated chronic lymphocytic leukemia (CLL), including those with 17p deletion."
Lumakras(sotorasib),Amgen Canada Inc.,Under consideration for negotiation,"Advanced non-small cell lung cancer, KRAS G12C-mutated"
Imcivree(setmelanotide),"Rhythm Pharmaceuticals, Inc.",Active Negotiation,Bardet-Biedl syndrome
Omvoh(mirikizumab),Eli Lilly Canada Inc.,Concluded with an LOI,Ulcerative Colitis
Trikafta(elexacaftor/tezacaftor/ivacaftor and ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,"Cystic fibrosis, F508del CFTR mutation, 2 years and older"
Cablivi(caplacizumab),Sanofi-Aventis Canada Inc.,Negotiations were not pursued,Acquired Thrombotic Thrombocytopenic Purpura (aTTP)
Onivyde(irinotecan liposome),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded without agreement,Metastatic Pancreatic Cancer
Kymriah(tisagenlecleucel),Novartis Pharmaceuticals Canada Inc.,Active Negotiation,"Follicular lymphoma (FL), Relapsed or refractory, grade 1, 2 or 3a, in adult patients after two or more lines of systemic therapy"
Xcopri(cenobamate),Paladin Labs Inc.,Concluded without agreement,"Epilepsy, partial-onset seizures"
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Ulcerative Colitis
Brukinsa(zanubrutinib),"BeiGene, Ltd.",Concluded with an LOI,Chronic lymphocytic leukemia (CLL) in adult patients
Welireg(belzutifan),Merck Canada Inc.,Concluded with an LOI,"Von Hippel-Lindau (VHL) disease in adult patients who require therapy for associated non-metastatic renal cell carcinoma (RCC), central nervous system (CNS) hemangioblastomas, or non-metastatic pancreatic neuroendocrine tumors (pNET), not requiring immediate surgery."
Jubbonti(denosumab 60 mg/mL),Sandoz Canada Inc.,Concluded with an LOI,Multiple Indications
Mezera(mesalazine),AVIR Pharma Inc.,Concluded with an LOI,Ulcerative Colitis
Zoryve(roflumilast),"Arcutis Biotherapeutics, Inc.",Concluded without agreement,Plaque psoriasis
Tavneos(avacopan),Otsuka Canada Pharmaceutical Inc.,Concluded without agreement,Antineutrophil cytoplasmic antibody-associated vasculitis
Sotyktu(deucravacitinib),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Ultomiris(ravulizumab),Alexion Pharma GmbH,Negotiations were not pursued,"Generalized Myasthenia Gravis, AChR antibody-positive"
Tremfya(guselkumab),Janssen Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Korsuva(difelikefalin),Otsuka Canada Pharmaceutical Inc.,Negotiations were not pursued,Moderate to severe pruritus associated with chronic kidney disease in adult patients on hemodialysis
Wezlana(ustekinumab),Amgen Canada Inc.,Concluded with an LOI,Multiple Indications
Enhertu(trastuzumab deruxtecan),AstraZeneca Canada Inc.,Concluded with an LOI,"Breast cancer, monotherapy for the treatment of adult patients, unresectable or metastatic HER2-low (IHC 1+ or IHC 2+/ISH-)"
Vyalev(foslevodopa foscarbidopa),AbbVie Corporation,Concluded with an LOI,Motor fluctuations in patients with advanced levodopa-responsive Parkinson's disease.
Verquvo(vericiguat),Bayer Inc.,Concluded with an LOI,Symptomatic chronic heart failure in adult patients with reduced ejection fraction who are stabilized after a recent heart failure decompensation event requiring hospitalization and/or intravenous diuretic therapy
