"Drug/device name","Medicinal ingredient","Manufacturer","Outcome","Decision date","Control number / Application number","Type of submission / Type of application"
"CLAREON VIVITY TORIC EXTENDED VISION","N/A","ALCON LABORATORIES INC.","Approved","2025-04-14","391534","Amendment device licence application"
"SENSAR FOLDABLE IOL WITH OPTIEDGE","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391741","Amendment device licence application"
"TECNIS TORIC 1-PIECE INTRAOCULAR LENS (IOL)","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391742","Amendment device licence application"
"TECNIS SYMFONY EXTENDED RANGE OF VISION IOL","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391743","Amendment device licence application"
"TECNIS SYMFONY TORIC EXTENDED RANGE OF VISION IOLS","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391744","Amendment device licence application"
"TECNIS 1-PIECE INTRAOCULAR LENS (IOL)","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391745","Amendment device licence application"
"TECNIS SYNERGY OPTIBLUE IOL","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391746","Amendment device licence application"
"TECNIS EYHANCE TORIC II IOLS","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391748","Amendment device licence application"
"TECNIS SYNERGY TORIC II OPTIBLUE IOL WITH TECNIS SIMPLICITY DELIVERY SYSTEM","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391749","Amendment device licence application"
"SYNERGY XD MONORAIL EVEROLIMUS-ELUTING PLATINUM CHROMIUM CORONARY STENT SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-04-14","391849","Amendment device licence application"
"SENSAR 1-PIECE INTRAOCULAR LENS (IOL)","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391750","Amendment device licence application"
"TECNIS EYHANCE IOL","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391757","Amendment device licence application"
"TECNIS FOLDABLE ACRYLIC INTRAOCULAR LENS (IOL)","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-04-14","391760","Amendment device licence application"
"SYNERGY MEGATRON MONORAIL EVEROLIMUS-ELUTING PLATINUM CHROMIUM CORONARY STENT SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-04-14","391848","Amendment device licence application"
"SYNERGY SHIELD MONORAIL EVEROLIMUS-ELUTING PLATINUM CHROMIUM CORONARY STENT SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-04-14","391850","Amendment device licence application"
"TRIMED WRIST FIXATION SYSTEM","N/A","TRIMED, INC.","Approved","2025-04-14","392274","Amendment device licence application"
"TACTIFLEX ABLATION CATHETER, SENSOR ENABLED","N/A","ABBOTT MEDICAL","Approved","2025-04-14","394190","Amendment device licence application"
"ARTHREX SUPPORT SCREWS - TITANIUM","N/A","ARTHREX INC","Approved","2025-04-10","362312","Amendment device licence application"
"ASPIRA PLEURAL DRAINAGE CATHETER SYSTEM","N/A","MERIT MEDICAL SYSTEMS INC.","Approved","2025-04-10","381541","Amendment device licence application"
"BILIWRAP","N/A","GERIUM MEDICAL LTD.","Approved","2025-04-10","384279","New device licence application"
"FIBERTAK SUTURE ANCHORS","N/A","ARTHREX INC","Approved","2025-04-10","385176","Amendment device licence application"
"6008","N/A","FRESENIUS MEDICAL CARE AG","Approved","2025-04-10","385439","New device licence application"
"SURGIFLO HEMOSTATIC MATRIX","N/A","FERROSAN MEDICAL DEVICES A/S","Approved","2025-04-10","391532","Amendment device licence application"
"GEN-PROBE APTIMA ASSAY FOR CHLAMYDIA TRACHOMATIS","N/A","HOLOGIC, INC.","Approved","2025-04-10","389858","Amendment device licence application"
"HELIX","N/A","DEKA M.E.L.A. S.R.L.","Approved","2025-04-10","391171","New device licence application"
"TRILOGY VENTILATOR SYSTEMS","N/A","RESPIRONICS INC. ALSO TRADING AS PHILIPS RS NORTH AMERICA LLC","Approved","2025-04-07","372584","Amendment device licence application"
"TRILOGY 100 VENTILATOR","N/A","RESPIRONICS INC. ALSO TRADING AS PHILIPS RS NORTH AMERICA LLC","Approved","2025-04-07","372450","Amendment device licence application"
"TE AIR DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2025-04-07","385658","Amendment device licence application"
"XERF","N/A","LUTRONIC CORPORATION","Approved","2025-04-07","389586","New device licence application"
"ELECSYS EBV EBNA IGG","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-04-04","338234","New device licence application"
"ELECSYS EBV IGM","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-04-04","338232","New device licence application"
"ELECSYS EBV VCA IGG","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-04-04","338233","New device licence application"
"ERBEJET 2 SYSTEM","N/A","ERBE ELEKTROMEDIZIN GMBH","Approved","2025-04-03","379238","Amendment device licence application"
"ERBE VIO 300 ELECTROSURGICAL SYSTEM","N/A","ERBE ELEKTROMEDIZIN GMBH","Approved","2025-04-03","379236","Amendment device licence application"
"VIO 200S ELECTROSURGICAL UNIT","N/A","ERBE ELEKTROMEDIZIN GMBH","Approved","2025-04-03","379240","Amendment device licence application"
"VIO 3 ELECTROSURGICAL UNIT","N/A","ERBE ELEKTROMEDIZIN GMBH","Approved","2025-04-03","379242","Amendment device licence application"
"CODMAN CATHETERS WITH BACTISEAL SILICONE","N/A","INTEGRA LIFESCIENCES PRODUCTION CORPORATION","Approved","2025-04-03","380023","Amendment device licence application"
"BACTISEAL EVD CATHETER SET","N/A","INTEGRA LIFESCIENCES PRODUCTION CORPORATION","Approved","2025-04-03","380024","Amendment device licence application"
"CODMAN CERTAS PLUS PROGRAMMABLE VALVE","N/A","INTEGRA LIFESCIENCES SWITZERLAND SARL","Approved","2025-04-03","380025","Amendment device licence application"
"VISTA 300","N/A","SHANGHAI DRAGER MEDICAL INSTRUMENT CO., LTD","Approved","2025-04-03","383503","New device licence application"
"LAVIEEN NOUVA DERM","N/A","WONTECH CO., LTD.","Approved","2025-04-03","384632","New device licence application"
"GORE VIATORR TIPS ENDOPROSTHESIS (WITH DELIVERY)","N/A","W.L. GORE & ASSOCIATES INC","Approved","2025-04-03","390939","Amendment device licence application"
"VSCAN AIR FOR ANDROID/VSCAN AIR FOR IOS","N/A","GE VINGMED ULTRASOUND AS","Approved","2025-04-03","391237","Amendment device licence application"
"CRANIOXPAND","N/A","KLS MARTIN L.P.","Approved","2025-04-02","378371","New device licence application"
"GEN-PROBE APTIMA ASSAY FOR NEISSERIA GONORRHOEAE","N/A","HOLOGIC, INC.","Approved","2025-04-02","390357","Amendment device licence application"
"BIOGLUE SURGICAL ADHESIVE","N/A","ARTIVION INC.","Approved","2025-04-02","383238","Amendment device licence application"
"CELSIO FLEXIBLE CRYOCATHETER SYSTEM","N/A","ENDOCISION TECHNOLOGIES INC.","Approved","2025-04-02","385251","New device licence application"
"ORTHEX EXTERNAL FIXATION IMPLANT SYSTEM","N/A","ORTHOPEDIATRICS CORPORATION","Approved","2025-04-02","391238","Amendment device licence application"
"A-OSS","N/A","OSSTEM IMPLANT CO. LTD","Approved","2025-04-02","391318","Amendment device licence application"
"TARGET DETACHABLE COILS","N/A","STRYKER NEUROVASCULAR","Approved","2025-04-02","391513","Amendment device licence application"
"ETS (EXETER TRAUMA STEM) HIP ENDOPROSTHESES","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2025-04-02","391793","Amendment device licence application"
"DALL-MILES CABLE SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2025-04-02","391794","Amendment device licence application"
"EXETER TOTAL HIP SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2025-04-02","391795","Amendment device licence application"
"X-CHANGE REVISION MESH SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2025-04-02","391797","Amendment device licence application"
"STRAUMANN PURE CERAMIC IMPLANT SYSTEM","N/A","INSTITUT STRAUMANN AG","Approved","2025-04-02","391987","Amendment device licence application"
"PRELOADED SOFT TISSUE ANCHORS - TITANIUM ALLOY","N/A","SMITH & NEPHEW, INC. ENDOSCOPY","Approved","2025-04-02","392141","Amendment device licence application"
"RFN-ADVANCED RETROGRADE FEMORAL NAILING SYSTEM","N/A","SYNTHES GMBH","Approved","2025-04-02","392207","Amendment device licence application"
"ECO2 3D","N/A","LUTRONIC CORPORATION","Approved","2025-03-31","389972","New device licence application"
"LIGHTWALKER","N/A","FOTONA D.O.O.","Approved","2025-03-31","391239","Amendment device licence application"
"ATELLICA IM SYSTEM","N/A","SIEMENS HEALTHCARE DIAGNOSTICS INC.","Approved","2025-03-28","378135","Amendment device licence application"
"ATELLICA CI SYSTEM","N/A","SIEMENS HEALTHCARE DIAGNOSTICS INC.","Approved","2025-03-28","378136","Amendment device licence application"
"ADVIA CENTAUR SYSTEM","N/A","SIEMENS HEALTHCARE DIAGNOSTICS INC.","Approved","2025-03-28","378139","Amendment device licence application"
"SYNGO.CT APPLICATION","N/A","SIEMENS HEALTHCARE GMBH","Approved","2025-03-28","382616","New device licence application"
"REVOLUTION RT","N/A","GE HANGWEI MEDICAL SYSTEMS CO. LTD.","Approved","2025-03-28","390680","New device licence application"
"EXETER CONTEMPORARY FLANGED CUP","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2025-03-28","391792","Amendment device licence application"
"ECHELON LINEAR CUTTER","N/A","ETHICON ENDO-SURGERY, LLC","Approved","2025-03-27","381444","New device licence application"
"THERMAGE FLX SYSTEM","N/A","SOLTA MEDICAL INC.","Approved","2025-03-27","384126","New device licence application"
"LATITUDE COMMUNICATOR","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-03-27","389363","Amendment device licence application"
"ARCHIMEDES BPS BIODEGRADABLE PANCREATICOBILIARY STENT - FAST DEGRADATION STENT","N/A","AMG INTERNATIONAL GMBH","Approved","2025-03-26","374921","New device licence application"
"ARCHIMEDES BPS BIODEGRADABLE PANCREATICOBILIARY STENT - MEDIUM DEGRADATION STENT","N/A","AMG INTERNATIONAL GMBH","Approved","2025-03-26","377611","New device licence application"
"ARCHIMEDES BPS BIODEGRADABLE PANCREATICOBILIARY STENT - SLOW DEGRADATION STENT","N/A","AMG INTERNATIONAL GMBH","Approved","2025-03-26","377616","New device licence application"
"VTI 20 MHZ SURGICAL DOPPLER SYSTEM","N/A","VASCULAR TECHNOLOGY INC","Approved","2025-03-26","390927","Amendment device licence application"
"AVEIR LEADLESS PACEMAKER","N/A","ABBOTT MEDICAL","Approved","2025-03-25","385791","Amendment device licence application"
"MERLIN PATIENT CARE SYSTEM AND PROGRAMMER SOFTWARE","N/A","ST. JUDE MEDICAL, CARDIAC RHYTHM MANAGEMENT DIVISION","Approved","2025-03-25","385789","Amendment device licence application"
"ALINITY S SYPHILIS ASSAY (DONOR SCREENING FOR TRANSPLANTATION AND BLOOD SCREENING)","N/A","ABBOTT GMBH","Approved","2025-03-25","381992","New device licence application"
"CEREC CERCON 4D ABUTMENT BLOCK","N/A","DEGUDENT GMBH","Approved","2025-03-25","382348","New device licence application"
"TORNIER HRS","N/A","TORNIER INC.","Approved","2025-03-25","385182","Amendment device licence application"
"CARBON MODULAR RADIAL HEAD (CMRH)","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2025-03-25","390350","Amendment device licence application"
"IGNITERF","N/A","INMODE LTD.","Approved","2025-03-24","390325","New device licence application"
"PROBNP KIT","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-03-20","383739","Amendment device licence application"
"LIDCO MODULE","N/A","MASIMO CORPORATION","Approved","2025-03-20","384374","New device licence application"
"ATTAIN ABILITY MRI SURESCAN","N/A","MEDTRONIC INC.","Approved","2025-03-19","391158","Amendment device licence application"
"ATTAIN PERFORMA MRI SURESCAN","N/A","MEDTRONIC INC.","Approved","2025-03-19","391160","Amendment device licence application"
"ATTAIN ABILITY STRAIGHT MRI SURESCAN","N/A","MEDTRONIC INC.","Approved","2025-03-19","391161","Amendment device licence application"
"ATTAIN ABILITY PLUS MRI SURESCAN","N/A","MEDTRONIC INC.","Approved","2025-03-19","391162","Amendment device licence application"
"DEFIGARD TOUCH 7","N/A","SCHILLER MEDICAL","Approved","2025-03-18","384045","Amendment device licence application"
"WHITESTAR SIGNATURE SYSTEM","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2025-03-17","390118","Amendment device licence application"
"HEMOSPHERE ADVANCED MONITORING SYSTEM","N/A","EDWARDS LIFESCIENCES LLC","Approved","2025-03-12","383236","Amendment device licence application"
"POLYFORM SYNTHETIC MESH","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-03-11","383269","Amendment device licence application"
"UPSYLON Y MESH KIT","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2025-03-11","383270","Amendment device licence application"
"POWERWIRE PRO RADIOFREQUENCY GUIDEWIRE KIT","N/A","BAYLIS MEDICAL TECHNOLOGIES INC.","Approved","2025-03-10","390991","Amendment device licence application"
"NYKANEN RADIOFREQUENCY WIRE","N/A","BAYLIS MEDICAL TECHNOLOGIES INC.","Approved","2025-03-10","390992","Amendment device licence application"
"NYKANEN RADIOFREQUENCY WIRE KIT","N/A","BAYLIS MEDICAL TECHNOLOGIES INC.","Approved","2025-03-10","390993","Amendment device licence application"
"XPERT XPRESS COV-2/FLU/RSV PLUS","N/A","CEPHEID","Approved","2025-03-07","381457","New device licence application"
"INTEROSS COLLAGEN","N/A","SIGMAGRAFT INC.","Approved","2025-03-07","389341","New device licence application"
"INTERCOLLAGEN GUIDE","N/A","SIGMAGRAFT INC.","Approved","2025-03-07","389342","New device licence application"
"FRED EASYPORT PLUS","N/A","SCHILLER MEDICAL","Approved","2025-03-06","383362","New device licence application"
"TYMPANOSTOMY TUBE, FLUOROPLASTIC","N/A","GRACE MEDICAL, INC.","Approved","2025-03-06","372068","New device licence application"
"MAXO2ME","N/A","MAXTEC, LLC","Approved","2025-03-06","379246","Amendment device licence application"
"ENVISTA ASPIRE TORIC HYDROPHOBIC ACRYLIC IOL","N/A","BAUSCH & LOMB INC.","Approved","2025-03-06","379456","New device licence application"
"ALINITY S ANTI-HCV II ASSAY","N/A","ABBOTT GMBH","Approved","2025-03-06","382193","New device licence application"
"AQUILION ONE MODEL TSX-308A","N/A","CANON MEDICAL SYSTEMS CORPORATION","Approved","2025-03-06","383239","New device licence application"
"PENDITURE LAA EXCLUSION SYSTEM","N/A","MEDTRONIC INC.","Approved","2025-03-06","383883","New device licence application"
"QUALITATIVE HPV NAT KITS","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2025-03-06","384366","Amendment device licence application"
"NAT SPECIMEN PREPARATION REAGENTS","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2025-03-06","384367","Amendment device licence application"
"NAT WASH REAGENTS","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2025-03-06","384368","Amendment device licence application"
"FIBERSTITCH","N/A","T.A.G. MEDICAL PRODUCTS CORPORATION LTD.","Approved","2025-03-05","378333","Amendment device licence application"
"MAXBLEND 2","N/A","MAXTEC, LLC","Approved","2025-03-05","379413","Amendment device licence application"
"ENVISTA ASPIRE HYDROPHOBIC ACRYLIC IOL","N/A","BAUSCH & LOMB INC.","Approved","2025-03-05","379455","New device licence application"
"SYNGO DUAL ENERGY SOFTWARE","N/A","SIEMENS HEALTHCARE GMBH","Approved","2025-03-05","384820","Amendment device licence application"
"HERCULES SYNDESMOSIS IMPLANT SYSTEM","N/A","IN2BONES USA","Approved","2025-03-05","386007","New device licence application"
"AQUILION ONE MODEL TSX-306A","N/A","CANON MEDICAL SYSTEMS CORPORATION","Approved","2025-03-05","390334","Amendment device licence application"
"COBAS LIAT SYSTEM","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2025-03-04","377486","Amendment device licence application"
"AUTOMATIC REGISTRATION","N/A","BRAINLAB AG","Approved","2025-03-04","384846","Amendment device licence application"
"RENUVION ELECTROSURGICAL SYSTEM","N/A","APYX MEDICAL CORPORATION","Approved","2025-03-03","375156","Amendment device licence application"
"DEXCOM ONE+ CONTINUOUS GLUCOSE MONITORING SYSTEM","N/A","DEXCOM, INC.","Approved","2025-03-03","382409","New device licence application"
"AVALUS ULTRA BIOPROSTHESIS","N/A","MEDTRONIC INC.","Approved","2025-03-03","385749","New device licence application"
"AMPLATZER DUCT OCCLUDER","N/A","ABBOTT MEDICAL","Approved","2025-03-03","390955","Amendment device licence application"
"SMART532","N/A","LUMENIS BE, INC.","Approved","2025-03-03","390252","New device licence application"
"SITERITE 9 ULTRASOUND SYSTEM","N/A","BARD ACCESS SYSTEMS, INC.","Approved","2025-02-28","382453","New device licence application"
"X-RAY TUBE HOUSING ASSEMBLY","N/A","CHRONOS IMAGING, LLC","Approved","2025-02-28","385248","New device licence application"
"PTA CATHETERS","N/A","BARD PERIPHERAL VASCULAR, INC.","Approved","2025-02-27","383993","Amendment device licence application"
"SYNOVASURE ALPHA DEFENSIN LATERAL FLOW","N/A","CD DIAGNOSTICS, INC.","Approved","2025-02-26","376272","Amendment device licence application"
"B.R.A.H.M.S KRYPTOR","N/A","B.R.A.H.M.S. GMBH","Approved","2025-02-26","377830","Amendment device licence application"
"LIFECODES LIFESCREEN XP","N/A","IMMUCOR GTI DIAGNOSTICS, INC.","Approved","2025-02-26","381151","New device licence application"
"ARIA RADIATION THERAPY MANAGEMENT","N/A","VARIAN MEDICAL SYSTEMS, INC.","Approved","2025-02-26","389869","Amendment device licence application"
"IDENTIFY","N/A","VARIAN MEDICAL SYSTEMS, INC.","Approved","2025-02-26","389888","Amendment device licence application"
"SUTURELOC IMPLANT","N/A","ARTHREX INC","Approved","2025-02-26","390251","New device licence application"
"ROCHE CARDIAC POC NT-PROBNP","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2025-02-25","373709","New device licence application"
"ARMADA PTA CATHETERS (OTW)","N/A","ABBOTT MEDICAL","Approved","2025-02-25","390255","Amendment device licence application"
"SJM EPIC VALVE","N/A","ST. JUDE MEDICAL","Approved","2025-02-24","384839","Amendment device licence application"
"EPIC PLUS/EPIC PLUS SUPRA STENTED PORCINE TISSUE VALVES","N/A","ABBOTT MEDICAL","Approved","2025-02-24","384872","Amendment device licence application"
"EPIC MAX STENTED PORCINE TISSUE VALVES","N/A","ABBOTT MEDICAL","Approved","2025-02-24","384874","Amendment device licence application"
"NAVITOR TRANSCATHETER AORTIC VALVE IMPLANTATION SYSTEM","N/A","ABBOTT MEDICAL","Approved","2025-02-24","384877","Amendment device licence application"
"OLIGIO X","N/A","WONTECH CO., LTD.","Approved","2025-02-24","384907","Amendment device licence application"
"APEX 3D TOTAL ANKLE REPLACEMENT SYSTEM","N/A","PARAGON 28, INC.","Approved","2025-02-21","382557","Amendment device licence application"
"GENEXPERT INFINITY","N/A","CEPHEID","Approved","2025-02-20","360883","Amendment device licence application"
"RAPID RESPONSE HOME DRUG TEST","N/A","BTNX INC.","Approved","2025-02-19","382018","New device licence application"
"TREK RX AND MINI TREK RX CORONARY DILATATION CATHETERS","N/A","ABBOTT MEDICAL","Approved","2025-02-19","384453","Amendment device licence application"
"GORE SEAMGUARD BIOABSORBABLE STAPLE LINE REINFORCEMENT - CONFIGURED FOR CIRCULAR SURGICAL STAPLERS","N/A","W.L. GORE & ASSOCIATES INC","Approved","2025-02-19","385442","Amendment device licence application"
"COBAS HPV","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2025-02-18","384352","Amendment device licence application"
"LOW PROFILE VISUALIZED INTRALUMINAL SUPPORT (LVIS) EVO","N/A","MICROVENTION, INC.","Approved","2025-02-18","379617","New device licence application"
"CONTOUR TRIMAX","N/A","LUVO MEDICAL TECHNOLOGIES, INC.","Approved","2025-02-18","383647","Amendment device licence application"
"VISCOAT OPHTHALMIC VISCOSURGICAL DEVICE","N/A","ALCON LABORATORIES INC.","Approved","2025-02-18","383831","Amendment device licence application"
"PROVISC OPHTHALMIC VISCOSURGICAL DEVICE","N/A","ALCON LABORATORIES INC.","Approved","2025-02-18","383832","Amendment device licence application"
"DISCOVISC OPHTHALMIC VISCOSURGICAL DEVICE","N/A","ALCON LABORATORIES INC.","Approved","2025-02-18","383833","Amendment device licence application"
"BEARING NSPVA EMBOLIZATION PARTICLES","N/A","MERIT MEDICAL SYSTEMS INC.","Approved","2025-02-18","383868","Amendment device licence application"
"DUOVISC VISCOELASTIC SOLUTION","N/A","ALCON LABORATORIES INC.","Approved","2025-02-18","383871","Amendment device licence application"
"ACIST HDI SYSTEM","N/A","ACIST MEDICAL SYSTEMS INC.","Approved","2025-02-18","389867","Amendment device licence application"
"REGENOMER","N/A","NIBEC CO., LTD.","Approved","2025-02-17","372782","New device licence application"
"BIOCERAMIC ENDODONTIC SEALER (BIOSEAL)","N/A","ESSENTIAL DENTAL SYSTEMS","Approved","2025-02-17","383612","New device licence application"
"MYRIAD SYSTEM","N/A","NICO CORPORATION","Approved","2025-02-17","384847","Amendment device licence application"
"EDWARDS PASCAL PRECISION TRANSCATHETER VALVE REPAIR SYSTEM","N/A","EDWARDS LIFESCIENCES LLC","Approved","2025-02-17","389806","Amendment device licence application"
"PLEXR PLUS","N/A","PLASMATOLOGY GROUP","Approved","2025-02-14","381008","Amendment device licence application"
"TELADOC HEALTH BLOOD GLUCOSE MONITORING SYSTEM","N/A","TELADOC HEALTH, INC.","Approved","2025-02-13","354971","New device licence application"
"CONQUEROR NC PTCA BALLOON CATHETER","N/A","APT MEDICAL INC.","Approved","2025-02-13","378468","New device licence application"
"I-STAT HS-TNI TEST","N/A","ABBOTT POINT OF CARE INC.","Approved","2025-02-13","380906","New device licence application"
"RESPONSE SPINE SYSTEM","N/A","ORTHOPEDIATRICS CORPORATION","Approved","2025-02-13","383240","Amendment device licence application"
"RESPONSE SPINE SYSTEM","N/A","ORTHOPEDIATRICS CORPORATION","Approved","2025-02-13","383241","Amendment device licence application"
"CARDIOMEMS HF SYSTEM","N/A","ABBOTT MEDICAL","Approved","2025-02-13","384145","Amendment device licence application"
"JASON MEMBRANE","N/A","BOTISS BIOMATERIALS GMBH","Approved","2025-02-13","384346","Amendment device licence application"
"UF(II) SUPERSTRUCTURE","N/A","DIO CORPORATION","Approved","2025-02-13","385249","Amendment device licence application"
"FINE OSTEOTOMY","N/A","LABORATOIRES BODYCAD, INC.","Approved","2025-02-13","385294","Amendment device licence application"
"AI-RAD COMPANION (PULMONARY)","N/A","SIEMENS HEALTHCARE GMBH","Approved","2025-02-13","386030","Amendment device licence application"
"CARELINK SMARTSYNC DEVICE MANAGER","N/A","MEDTRONIC INC.","Approved","2025-02-12","383526","Amendment device licence application"
"GENEXPERT INFINITY","N/A","CEPHEID","Approved","2025-02-12","360883","Amendment device licence application"
"ZOLL ZENIX MONITOR/DEFIBRILLATOR","N/A","ZOLL MEDICAL CORPORATION","Approved","2025-02-12","379502","New device licence application"
"ADVANTA V12 COVERED STENT SYSTEM","N/A","ATRIUM MEDICAL CORPORATION","Approved","2025-02-11","380812","Amendment device licence application"
"ADVISOR, SENSOR ENABLED CIRCULAR MAPPING CATHETER","N/A","ABBOTT MEDICAL","Approved","2025-02-11","389448","Amendment device licence application"
"COLLAGUIDE COLLAGEN DENTAL MEMBRANE","N/A","DSM BIOMEDICAL, INC. D.B.A. DSM BIOMEDICAL","Approved","2025-02-11","389709","Amendment device licence application"
"CERCON YO ML","N/A","DEGUDENT GMBH","Approved","2025-02-11","389756","New device licence application"
