Date,Trademark / Project,Common name / Subject,Manufacturer,INESSS Recommendation,Minister's Decision
2025-05-15,Pantoloc et versions génériques (Inhibiteurs de la pompe à protons),pantoprazole (magnésien ou sodique),Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Pariet et versions génériques (Inhibiteurs de la pompe à protons),rabéprazole sodique,Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Pariet et versions génériques (Inhibiteurs de la pompe à protons),rabéprazole sodique,Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Prevacid et versions génériques (Inhibiteurs de la pompe à protons),lansoprazole,Tous fabricants,Modification des modalités de remboursement,À venir
2025-05-15,Prevacid et versions génériques (Inhibiteurs de la pompe à protons),lansoprazole,Tous fabricants,Modification des modalités de remboursement,À venir
2025-04-30,Camcevi (cancer de la prostate),leuprolide (mésylate de),Accord,Inscription,Surseoir à la décision (2025-05-22)
2025-04-30,Darzalex SC (myélome multiple),daratumumab,Janss. Inc,Refus d'inscription - Ensemble des aspects,Surseoir à la décision (2025-05-22)
2025-04-30,Imdelltra (CPPC),tarlatamab,Amgen,Refus d'inscription - Valeur thérapeutique,Ne pas inscrire sur la liste des médicaments - Établissements (2025-05-22)
2025-04-30,Keytruda (CPNPC péri-op),pembrolizumab,Merck,Refus d'inscription - Valeur thérapeutique,Ne pas inscrire sur la liste des médicaments - Établissements (2025-05-22)
2025-04-30,"Otulfi (APsO, CU, MC, PsO)",ustekinumab,Fresenius,Inscription - Sous conditions,Surseoir à la décision (2025-05-22)
2025-04-30,Revlimid & génériques (myélome multiple),lénalidomide,Tous fabricants,Concordances,Surseoir à la décision (2025-05-22)
2025-04-30,Steqeyma (CU),ustekinumab,Celltrion,Inscription - Sous conditions,Inscrire sur les listes des médicaments - Médicament d'exception (2025-05-22)
2025-04-30,Xiidra (sécheresse oculaire),lifitegrast,B+L,Refus d'inscription - Valeur thérapeutique,Ne pas inscrire sur les listes des médicaments (2025-05-22)
2025-04-10,AG-Gliclazide MR,gliclazide,Angita,Inscription,Inscrire aux listes des médicaments
2025-04-10,Apo-Nilotinib,nilotinib,Apotex,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-04-10,Apo-Tiotropium,tiotropium (bromure monohydraté de),Apotex,Inscription,Inscrire aux listes des médicaments
2025-04-10,JAMP Cabergoline,cabergoline,Jamp,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-04-10,JAMP Irbesartan,irbesartan,Jamp,Inscription,Inscrire aux listes des médicaments
2025-04-10,M-Pirfenidone,pirfénidone,Mantra Ph.,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-04-10,M-Rizatriptan,rizatriptan (benzoate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-04-10,Mar-Afatinib,afatinib (dimaléate d'),Marcan,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-04-10,Nat-Abiraterone,abiratérone (acétate d') - cancer de la prostate métastatique sensible à la castration,Natco,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-04-10,Remdantry (Indications diverses),infliximab,Celltrion,Inscription - Sous condition,"Inscrire sur les listes des médicaments-
Médicament d'exception (2025-04-10)"
2025-04-02,Bimzelx (psoriasis) (nouvelle teneur),bimekizumab,UCB,Inscription - Sous conditions,Surseoir à la décision (2025-04-10)
2025-04-02,Eliquis et versions génériques (Anticoagulants oraux directs - AOD),apixaban,Tous fabricants,"Transfert à la section régulière - RGAM
Retrait des critères d'utilisation - Établissements","Transfert à la section régulière - RGAM (2025-04-10)
Retrait des critères d'utilisation - Établissements (2025-04-10)"
2025-04-02,Hadlima & Hadlima Push Touch (Colite ulcéreuse enfant),adalimumab,Organon,Inscription - Sous conditions,"Inscrire sur les listes des médicaments -
Médicament d'exception (2025-04-10)"
2025-04-02,Keytruda (Adj. CPNPC),pembrolizumab,Merck,Refus d'inscription - Valeur thérapeutique,Ne pas inscrire sur liste des médicaments - Établissements (2025-04-10)
2025-04-02,Lixiana (Anticoagulants oraux directs - AOD),edoxaban,Servier,"Transfert à la section régulière - Sous conditions - RGAM
Retrait des critères d'utilisation - Sous conditions - Établissements","Surseoir à la décision - RGAM (2025-04-10)
Surseoir à la décision - Établissements (2025-04-10)"
2025-04-02,Ojjaara (splénomégalie),momélotinib (chlorhydate de),GSK,Inscription - Sous conditions,Surseoir à la décision (2025-04-10)
2025-04-02,Pradaxa et version générique (Anticoagulants oraux directs - AOD),dabigatran etexilate,Tous fabricants,"Transfert à la section régulière - Sous conditions - RGAM
Retrait des critères d'utilisation - Sous conditions - Établissements","Surseoir à la décision - RGAM (2025-04-10)
Surseoir à la décision - Établissements (2025-04-10)"
2025-04-02,Vyloy (adénocarcinome œsogastrique),zolbétuximab,Astellas,Refus d'inscription - Ensemble des aspects,Surseoir à la décision (2025-04-10)
2025-04-02,Wezlana,ustekinumab,Amgen,Concordances,Surseoir à la décision (2025-04-10)
2025-04-02,"Wezlana (APSO, CU, MC, PSO) (nouvelle forme)",ustekinumab,Amgen,Inscription - Sous conditions,"Inscrire sur les listes des médicaments - Médicament d'exception (2025-05-22)
Surseoir à la décision (2025-04-10)"
2025-04-02,Wezlana (PSO péd),ustekinumab,Amgen,Modification d'une indication reconnue - Sous conditions,"Modifier l'indication reconnue sur les listes des médicaments (2025-05-22)
Surseoir à la décision (2025-04-10)"
2025-04-02,Xarelto et versions génériques (Anticoagulants oraux directs - AOD),rivaroxaban,Tous fabricants,"Transfert à la section régulière - RGAM
Retrait des critères d'utilisation - Établissements","Surseoir à la décision - RGAM (2025-04-10)
Surseoir à la décision - Établissements (2025-04-10)"
2025-03-06,AG-Levocarb,lévodopa/carbidopa,Angita,Inscription,Inscrire aux listes des médicaments
2025-03-06,Apo-Lisdexamfetamine,lisdexamfétamine (dimésylate de),Apotex,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-06,Apo-Tériparatide injectable,tériparatide,Apotex,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-06,Chlorhydrate de vancomycine pour injection,vancomycine (chlorhydrate de),Hikma,Inscription,Inscrire aux listes des médicaments
2025-03-06,Dimenhydrinate Injection,dimenhydrinate,Sandoz,Inscription,Inscrire à la Liste des médicaments - Établissements
2025-03-06,JAMP Imipramine,imipramine (chlorhydrate d'),Jamp,Inscription,Inscrire aux listes des médicaments
2025-03-06,JAMP Levocarb,lévodopa/carbidopa,Jamp,Inscription,Inscrire aux listes des médicaments
2025-03-06,Lurasidone,lurasidone (chlorhydrate de),Sanis,Inscription,Inscrire aux listes des médicaments
2025-03-06,M-Midodrine,midodrine (chlorhydrate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-03-06,M-Rivaroxaban,rivaroxaban,Mantra Ph.,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-06,M-Tranexamic Acid,tranexamique (acide),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-03-06,Mar-Leflunomide,léflunomide,Marcan,Inscription,Inscrire aux listes des médicaments
2025-03-06,pms-Sitagliptin,sitagliptine,Phmscience,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-06,Pro-Lisdexamfetamine,lisdexamfetamine (dimesylate de),Pro Doc,Inscription- Avec conditions,Inscrire à la Liste des médicaments du RGAM - Médicament d'exception
2025-03-06,Rivaroxaban,rivaroxaban,Sanis,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-06,Sitagliptin,sitagliptine,Sanis,Inscription- Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-03-05,"Byooviz (OVCR, OBVR)",ranibizumab,Biogen,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,Dexcom G7 (autosurveillance glycémie),capteur dexcom G7,Dexcom,Refus d’inscription – Valeur thérapeutique,Ne pas inscrire sur la Liste des médicaments RGAM (2025-03-06)
2025-03-05,Empaveli (HPN),pegcetacoplan,Sobi,Concordances,Modifier l'indication reconnue aux listes des médicaments (2025-03-06)
2025-03-05,"Eylea (OVCR, OBVR)",aflibercept,Bayer,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,"Eylea HD (DMLA, OMD & nouvelle forme)",aflibercept 8 mg,Bayer,Inscription - Sous conditions,"Inscrire sur les  listes des médicaments - Médicament d'exception (2025-04-10)
Surseoir à la décision (2025-03-06)"
2025-03-05,Fabhalta (HPN),iptacopan (chlorhydrate de),Novartis,Inscription - Sous conditions,Surseoir à la décision (2025-03-06)
2025-03-05,Lucentis (OVCR),ranibizumab,Novartis,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,Lumakras (CPNPC),sotorasib,Amgen,Inscription - Sous conditions,Surseoir à la décision (2025-03-06)
2025-03-05,"Methofill Auto‑Dose Injecteur (PSO, APSO, PAR)",méthotrexate sodique,Accord,Inscription - Sous conditions,Surseoir à la décision (2025-03-06)
2025-03-05,Mezera (colite ulcéreuse & nouvelle teneur),5-aminosalicylique (acide),Avir Pharma Inc.,Inscription,Inscrire aux listes des médicaments (2025-03-06)
2025-03-05,"Nordimet (PSO, APSO, PAR)",méthotrexate sodique,Linepharma International Inc.,Inscription - Sous conditions,Surseoir à la décision (2025-03-06)
2025-03-05,"Ranopto (OBVR, OVCR)",ranibizumab,Teva Innov,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,Ryaltris (rhinite allergique),olopatadine (chlorhydrate d’) /mométasone (furoate de),Bausch H.,Refus d'inscription - Valeur thérapeutique,Ne pas inscrire aux Listes des médicaments (2025-03-06)
2025-03-05,Soliris (HPN),éculizumab,Alexion,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,Soliris (HPN),éculizumab,Alexion,Concordances,Modifier les indications reconnues aux listes des médicaments (2025-03-06)
2025-03-05,Ultomiris (HPN),ravulizumab,Alexion,Concordances,Surseoir à la décision (2025-03-06)
2025-03-05,Ultomiris (HPN),ravulizumab,Alexion,Concordances,Modifier les indications reconnues aux listes des médicaments (2025-03-06)
2025-03-05,"Vabysmo (OVCR, OBVR)",faricimab,Roche,Inscription - Sous conditions,Surseoir à la décision (2025-03-06)
2025-03-05,Voydeya (HPN),danicopan,Alexion,Concordances,Surseoir à la décision (2025-03-06)
2025-02-05,Acétaminophène injectable,acétaminophène,Baxter,Inscription - Avec conditions,Inscrire à la Liste des médicaments - Établissements - Médicament d'exception
2025-02-05,Apixaban,apixaban,Sanis,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-02-05,Balversa (carcinome urothélial),erdafitinib,Janss. Inc,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Bivalirudin for Injection,bivalirudin,Forma Ph,Inscription - Avec conditions,Inscrire à la Liste des médicaments - Établissements - Médicament d'exception
2025-02-05,Famotidine,famotidine,Sivem,Inscription,Inscrire aux listes des médicaments
2025-02-05,Famotidine,famotidine,Sanis,Inscription,Inscrire aux listes des médicaments
2025-02-05,JAMP Sumatriptan,sumatriptan (succinate de),Jamp,Inscription,Inscrire aux listes des médicaments
2025-02-05,Jamp Abiraterone,abiratérone (acétate d') - cancer de la prostate métastatique sensible à la castration,Jamp,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-02-05,M-Metformin,metformine (chlorhydrate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-02-05,M-Midodrine,midodrine (chlorhydrate de),Mantra Ph.,Inscription,Inscrire aux listes des médicaments
2025-02-05,Mint-Varenicline,varénicline (tartrate de),Mint,Inscription,Inscrire aux listes des médicaments
2025-02-05,Niopeg (neutropénie liée à la chimiothérapie),pegfilgrastim,Nora,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Odan-Valproic acid,valproate sodique,Odan,Inscription,Inscrire aux listes des médicaments
2025-02-05,Omlyclo (urticaire chronique idiopathique),omalizumab,Celltrion,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Pantoprazole,pantoprazole,Dac Pharmaceutique,Inscription,Inscrire à la Liste des médicaments du RGAM
2025-02-05,Pexegra (neutropénie liée à la chimiothérapie),pegfilgrastim,Jamp,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,pms-Palbociclib,palbociclib,Phmscience,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2025-02-05,Pronextica Liquid (déficit congénital alpha1-antitrypsine),Inhibiteur de l'alpha1-protéinase (humain),Grifols,Ajout,N/A
2025-02-05,Rybrevant (CPNPC – 1re intention),amivantamab,Janss. Inc,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Spevigo (psoriasis pustuleux),spésolimab,Bo. Ing.,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Vyvgart,efgartigimod alfa,Argenx,Concordances,"Modifier l'indication reconnue sur les listes des médicaments (2025-05-22)
Surseoir à la décision (2025-02-05)"
2025-02-05,Xolair (urticaire chronique idiopathique),omalizumab,Novartis,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-02-05,Zilbrysq (myasthénie),zilucoplan,UCB,Refus d'inscription - Ensemble des aspects,Surseoir à la décision (2025-02-05)
2025-01-03,Talvey (MMRR),talquetamab,Janss. Inc,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Padcev (cancer urothélial en association avec pembrolizumab- 1ère intention),enfortumab védotine,Pfizer,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Ozurdex (OMD),dexaméthasone,AbbVie,Modification d'une indication reconnue - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Opzelura (dermatite atopique),ruxolitinib,Incyte,Refus d'inscription - Ensemble des aspects,Surseoir à la décision (2025-02-05)
2025-01-03,Jamteki (psoriasis en plaques péd.),ustekinumab,Jamp,Modification d'une indication reconnue - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Fruzaqla (CCR métastatique réfractaire),fruquintinib,Takeda,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,"Jamteki (Colite ulcéreuse, maladie de Crohn)",ustekinumab,Jamp,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Epuris (acné),isotrétinoïne,Cipher,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Cosentyx (hidradénite suppurée),sécukinumab,Novartis,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Breyanzi (LGCB - 2e intention),lisocabtagène maraleucel,B.M.S.,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Ayvakyt (mastocytose),avapritinib,Medison,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Axberi et Axberi HP (troubles thromboemboliques),énoxaparine sodique,Baxter,Inscription - Sous conditions,Surseoir à la décision (2025-02-05)
2025-01-03,Padcev (cancer urothélial),enfortumab védotine,Pfizer,Concordances,Surseoir à la décision (2025-02-05)
2024-12-12,AG-Amlodipine,amlodipine (bésylate d'),Angita,Inscription,Inscrire aux listes des médicaments
2024-12-12,Apo-Brivaracetam,brivaracétam,Apotex,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Auro-Brivaracetam,brivaracétam,Aurobindo,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Bitartrate de norépinéphrine injectable,norépinéphrine (bitartrate de),Sterimax,Inscription,Inscrire à la Liste des médicaments - Établissements
2024-12-12,Cholestyramine-Odan,cholestyramine (résine de),Odan,Inscription,Inscrire aux listes des médicaments
2024-12-12,Cyclophosphamide pour injection,cyclophosphamide pour injection,Sterimax,Inscription,Inscrire à la Liste des médicaments - Établissements
2024-12-12,Dac Calcium 500 mg + Vitamine D400 IU,calcium (carbonate de)/ vitamine D,Dac Pharmaceutique,Inscription,Inscrire à la Liste des médicaments du RGAM
2024-12-12,Fulvestrant Injectable,fulvestrant,Jamp,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Héparine sodique injectable,héparine sodique,Sterimax,Inscription,Inscrire à la Liste des médicaments - Établissements
2024-12-12,Icatibant injectable,icatibant (acétate d'),Jamp,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,JAMP Cefuroxime,céfuroxime axetil,Jamp,Inscription,Inscrire aux listes des médicaments
2024-12-12,JAMP Gliclazide-MR,gliclazide,Jamp,Inscription,Inscrire aux listes des médicaments
2024-12-12,JAMP Pentoxifylline SR,pentoxifylline,Jamp,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,JAMP Sumatriptan DF,sumatriptan (succinate de),Jamp,Inscription,Inscrire aux listes des médicaments
2024-12-12,Jamp-Sodium Phosphate,phosphate acide de sodium/ sodium (bicarbonate de)/ potassium (bicarbonate de),Jamp,Inscription,"Inscrire aux listes des médicaments (2025-05-22)
Surseoir à la décision 2024-12-12"
2024-12-12,Mint-Levocarb,lévodopa/ carbidopa,Mint,Inscription,Inscrire aux listes des médicaments
2024-12-12,Mint-Ondansetron Solution,ondansétron,Mint,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,NRA-Lurasidone,lurasidone (chlorhydrate de),Nora,Inscription,Surseoir à la décision (2024-12-12)
2024-12-12,pms-Abiraterone,abiratérone (acétate d') - cancer de la prostate métastatique sensible à la castration,Phmscience,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Riva-Vitamine B12,cyanocobalamine,Riva,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Sandoz AFAtinib,afatinib (dimaléate d'),Sandoz,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Sandoz Abiraterone,abiratérone (acétate d') - cancer de la prostate métastatique sensible à la castration,Sandoz,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Sandoz Lisdexamfetamine,lisdexamfetamine (dimesylate de),Sandoz,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Taro-Palbociclib,palbociclib,Taro,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-12-12,Teva-Mirtazapine,mirtazapine,Teva Can,Inscription,Inscrire aux listes des médicaments
2024-12-04,Alecensaro (CPNPC),alectinib (chlorhydrate d’),Roche,Inscription - Sous condition,Surseoir à la décision (2024-12-12)
2024-12-04,Alecensaro (cancer du poumon),alectinib (chlorhydrate d’),Roche,Concordances,Surseoir à la décision (2024-12-12)
2024-12-04,Alunbrig (cancer poumon),brigatinib,Takeda,Concordances,Surseoir à la décision (2024-12-12)
2024-12-04,Carvykti (myélome multiple),ciltacabtagène autoleucel,Janss. Inc,Refus d'inscription – Ensemble des aspects,Surseoir à la décision (2024-12-12)
2024-12-04,Carvykti (myélome),ciltacabtagène autoleucel,Janss. Inc,Concordances,Surseoir à la décision (2024-12-12)
2024-12-04,Casgevy (anémie falciforme),exagamglogene,Vertex,Inscription – Sous conditions,Surseoir à la décision  (2024-12-12)
2024-12-04,Casgevy (bêta-thalassémie),exagamglogene,Vertex,Inscription – Sous conditions,Surseoir à la décision (2024-12-12)
2024-12-04,Darzalex (myélome multiple),daratumumab,Janss. Inc,Concordances,Modifier une indication reconnue - Liste Établissements - Médicament d'exception (2024-12-12)
2024-12-04,Darzalex SC (myélome multiple),daratumumab,Janss. Inc,Concordances,Modifier une indication reconnue - Liste Établissements - Médicament d'exception (2024-12-12)
2024-12-04,Eprex (anémie préopératoire),époétine alfa,Janss. Inc,Refus d’inscription – Valeur thérapeutique,Ne pas ajouter une indication reconnue aux listes des médicaments (2024-12-12)
2024-12-04,Kymriah (Leucémie lymphoblastique),tisagenlecleucel,Novartis,Modification d'une indication reconnue,Surseoir à la décision (2024-12-12)
2024-12-04,Livmarli (prurit cholestatique),maralixibat (chlorure de),Mirum,Refus d’inscription – Valeur thérapeutique,Ne pas inscrire aux  Listes des médicaments (2024-12-12)
2024-12-04,Lorbrena (CPNPC),lorlatinib,Pfizer,Concordances,Surseoir à la décision (2024-12-12)
2024-12-04,Trikafta (fibrose kystique),Éléxacaftor/tézacaftor/ivacaftor et ivacaftor (emballage combiné),Vertex,Modification d'une indication reconnue - Sous conditions,Modifier une indication reconnue aux listes des médicaments - Médicament d'exception (2024-12-12)
2024-12-04,Tyenne (COVID-19),tocilizumab,Fresenius,Inscription,"Inscrire sur la Liste des médicaments - Établissements, sans restrictions  (2025-04-10)
Surseoir à la décision (2024-12-12)"
2024-12-04,Tyenne (SLC),tocilizumab,Fresenius,Inscription,"Inscrire sur la Liste des médicaments - Établissements, sans restrictions (2025-04-10)
Surseoir à la décision (2024-12-12)"
2024-12-04,Tyenne (indications diverses),tocilizumab,Fresenius,Inscription – Sous conditions,"Inscrire sur la Liste des médicaments du RGAM - Médicament d'exception (2025-04-10)
Inscrire à la Liste des médicaments- Établissements, sans restrictions (2025-04-10)
Surseoir à la décision (2024-12-12)"
2024-12-04,Tyenne (indications diverses),tocilizumab,Fresenius,Concordances,Surseoir à la décision (2024-12-12)
2024-12-04,UrgoClean Ag (pansements),pansement antimicrobien – argent,Urgo,"Inscription – Sous conditions
(6 cm x 6 cm – 36 cm2 ; 15 cm x 20 cm – 300 cm2) ; 
Refus d'inscription - Ensemble des aspects
(10 cm x 10 cm – 100 cm2)","Inscrire à la liste RGAM-Médicament d'exception (2024-12-12)
(6 cm x 6 cm – 36 cm2 ; 15 cm x 20 cm – 300 cm2) ; 
Ne pas inscrire à la Liste des médicaments du RGAM (2024-12-12)
(10 cm x 10 cm – 100 cm2)"
2024-12-04,Winrevair (hypertension artérielle pulmonaire),sotatercept,Merck,Refus d'inscription - Ensemble des aspects,Surseoir à la décision (2024-12-12)
2024-11-07,Chlorhydrate de naloxone injectable (surdose d'opioïdes),Chlorhydrate de naloxone,Sterinova,Inscription,"Inscrire aux listes des médicaments
incluant le programme de gratuité (2024-12-12)"
2024-11-07,AG-Latanoprost,latanoprost,Angita,Inscription,Inscrire aux listes des médicaments
2024-11-07,AG-Letrozole,létrozole,Angita,Inscription,Inscrire aux listes des médicaments
2024-11-07,AG-Rivaroxaban,rivaroxaban,Angita,Inscription - Avec conditions,Inscrire aux listes des médicaments - Médicament d'exception
2024-11-07,Acétaminophène,acétaminophène,B. Braun,Inscription - Avec conditions,Inscrire à la Liste des médicaments - Établissements - Médicament d'exception
2024-11-07,Allègements administratifs (oncologie),diverses,Tous fabricants,Modification des indications reconnues,Modifier les indications reconnues (2024-11-07)
2024-11-07,Auro-Tamsulosin CR,tamsulosine (chlorhydrate de),Aurobindo,Inscription,Inscrire aux listes des médicaments
2024-11-07,Chlorhydrate de Vancomycine pour injection,vancomycine (chlorhydrate de),Marcan,Inscription,"Inscrire aux listes des médicaments (2024-12-12) 
Surseoir à la décision (2024-11-07)"
2024-11-07,Ferinject (carence en fer),carboxymaltose ferrique,CSL,Inscription,Surseoir à la décision (2024-12-12)
2024-11-07,Istodax (LTP),romidepsine,Celgene,Retrait de l'inscription,Retirer des listes des médicaments – Établissements (2024-12-12)
2024-11-07,Ixifi (Indications diverses),infliximab,Pfizer,Inscription - Sous conditions,"Inscrire sur les listes des médicaments-
Médicament d'exception (2025-04-10)
Surseoir à la décision (2024-12-12)"
2024-11-07,JAMP Cefadroxil,céfadroxil (monohydrate de),Jamp,Inscription,Inscrire aux listes des médicaments
2024-11-07,JAMP Ipratropium HFA,ipratropium (bromure d'),Jamp,Inscription,Inscrire aux listes des médicaments
