Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
Cladribine and Natalizumab for...Opens in new tab,,,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/TS0004_cladribine_natalizumab_Final%20Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/attachments/2025-03/TS0004-Cladribine-Natalizumab_Updated_Recommendations_1.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/TS0004-Cladribine-Natalizumab_DPI-Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/TS0004-Natalizumab_Clinical_and_Pharmacoeconomic_Combined_Report%20.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/TS0004-Cladribine-Natalizumab_SF_DR_Redacted.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/TS0004-Natalizumab_and_Cladribine_Combined_Review_Stakeholder_Input.pdf']",,,Active,,28-Mar-25,TS0004-000
iptacopanOpens in new tab,Fabhalta,iptacopan,"['https://cda-amc.ca/sites/default/files/DRR/2025/SR0851_Fabhalta_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0851_Patient_and_Clinician_Group_Input.pdf']",paroxysmal nocturnal hemoglobinuria (PNH),Reimburse with clinical criteria and/or conditions,Active,15-Aug-24,12-Mar-25,SR0851-000
tarlatamabOpens in new tab,Imdelltra,tarlatamab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0351_Imdelltra_FINAL_Rec.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0351_Patient_and_Clinician_Group_Input.pdf']",Extensive stage small cell lung cancer,Reimburse with clinical criteria and/or conditions,Active,14-Aug-24,28-Feb-25,PC0351-000
talquetamabOpens in new tab,Talvey,talquetamab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0363-Talvey_FINAL_Rec.pdf', 'https://cadth.ca/sites/default/files/DRR/2025/PC0363_Talvey_Patient_Clinician_Input.pdf']",Relapsed or refractory multiple myeloma,Do not reimburse,Active,01-May-24,27-Feb-25,PC0363-000
faricimabOpens in new tab,Vabysmo,faricimab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0832-Vabysmo_FINAL_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0832_Patient_and_Clinician_Input.pdf']",Retinal vein occlusion,Reimburse with clinical criteria and/or conditions,Active,31-Jul-24,13-Feb-25,SR0832-000
Large B cell lymphomaOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0064-Rapid_Algorithm_Report_LBCL.pdf'],Large B cell lymphoma/  Lymphome B à grandes cellules,,Complete,,11-Feb-25,PH0064-000
clascoteroneOpens in new tab,Winlevi,clascoterone,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0863_Winlevi_FINAL_Reconsideration.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0863_Patient_and_Clinician_Group_Input.pdf']",Acne vulgaris,Do not reimburse,Active,06-Aug-24,06-Feb-25,SR0863-000
Colorectal cancerOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0062-mCRC_Rapid_Algorithm_Report.pdf'],Colorectal cancer,,Complete,,06-Feb-25,PH0062-000
blinatumomabOpens in new tab,N/A,blinatumomab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-FMEC_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Blinatumomab_Supplemental.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0367_consolidated_input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0367-Feedback_DRAFT_REC.pdf']","Acute lymphoblastic leukemia, pediatrics",Reimburse with clinical criteria and/or conditions,Complete,11-Jun-24,04-Feb-25,PX0367-000
dimethyl fumarateOpens in new tab,N/A,dimethyl fumarate,"['https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Dimethyl_FMEC_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Dimethyl-DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0751-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0751-Supplemental_Material.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Feedback_%20DRAFT_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0751_Feedback_Input.pdf']",Multiple Sclerosis (MS),Reimburse with clinical criteria and/or conditions,Complete,21-Jun-24,04-Feb-25,SX0751-000
teriflunomideOpens in new tab,N/A,teriflunomide,"['https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Teriflunomide_FMEC_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-Supplemental_Material.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Feedback_%20DRAFT_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Feedback_input.pdf']",Multiple Sclerosis (MS),Reimburse with clinical criteria and/or conditions,Complete,21-Jun-24,04-Feb-25,SX0752-000
nivolumab ipilimumabOpens in new tab,N/A,nivolumab ipilimumab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_FMEC_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-DPI_table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-Supplemental_Material.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_Feedback_%20DRAFT_REC.pdf']",Melanoma,Reimburse with clinical criteria and/or conditions,Complete,25-Jun-24,04-Feb-25,PX0371-000
Chronic lymphocytic leukemia (...Opens in new tab,,,['https://www.cda-amc.ca/sites/default/files/DRR/2025/PH0063-CLL_Rapid_Algorithm_Report.pdf'],Chronic lymphocytic leukemia (CLL),,Complete,,31-Jan-25,PH0063-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0377_Keytruda_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0377-Keytruda_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0377-Keytruda_Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0377_Patient_and_Clinician_Group_Input.pdf']",Unresectable or metastatic MSI-H or dMMR solid tumors,Reimburse with clinical criteria and/or conditions,Complete,16-Jul-24,31-Jan-25,PC0377-000
pembrolizumabOpens in new tab,Keytruda,pembrolizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0369-Keytruda-NSCLC_FINAL_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0369-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0369-Feedback_Draft_Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0369_Combined_Patient_Clinician_Group_Input.pdf']",Non-small cell lung cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,15-Jul-24,30-Jan-25,PC0369-000
zolbetuximabOpens in new tab,Vyloy,zolbetuximab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0338_Vyloy_Final_Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/PC0338_zolbetuximab-Patient_Clinician_Input.pdf']",Gastric or gastroesophageal junction (GEJ) adenocarcinoma,Reimburse with clinical criteria and/or conditions,Active,28-Jun-24,29-Jan-25,PC0338-000
zilucoplanOpens in new tab,Zilbrysq,zilucoplan,"['https://cda-amc.ca/sites/default/files/DRR/2025/SR0838_Zilbrysq_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0838-Zilucoplan_Patient%20Clinician_Group_Input.pdf']",Generalized myasthenia gravis (gMG),Reimburse with clinical criteria and/or conditions,Active,29-Feb-24,23-Jan-25,SR0838-000
Prostate cancerOpens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0057-Prostate_Cancer_Rapid_Algorithm.pdf'],Prostate cancer,,Complete,,22-Jan-25,PH0057-000
Anaplastic Lymphoma Kinase (AL...Opens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2025/PH0058-ALK_Positive_NSCLC.pdf'],Anaplastic Lymphoma Kinase (ALK) -Positive Non-small Cell Lung Cancer (NSCLC),,Complete,,21-Jan-25,PH0058-000
amivantamabOpens in new tab,Rybrevant,amivantamab,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0376_Rybrevant_FINAL_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0376-Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0376-Rybrevant_Draft_Rec_Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0376_Patient_and_Clinician_Input.pdf']",Locally advanced or metastatic non-small cell lung cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,21-Jun-24,10-Jan-25,PC0376-000
erdafitinibOpens in new tab,Balversa,erdafitinib,"['https://cda-amc.ca/sites/default/files/DRR/2025/PC0375-Balversa_Final_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0375_Combined_Patient_and_Clinician_Group_Input.pdf']",locally advanced unresectable or metastatic urothelial carcinoma (UC),Reimburse with clinical criteria and/or conditions,Active,14-Jun-24,09-Jan-25,PC0375-000
momelotinibOpens in new tab,Ojjaara,momelotinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0355_Ojjaara_FINAL_REC.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0355_Patient_and_Clinician_Group_Input.pdf']",Myelofibrosis,Reimburse with clinical criteria and/or conditions,Active,19-Jun-24,08-Jan-25,PC0355-000
ravulizumabOpens in new tab,Ultomiris,ravulizumab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0855_Ultomiris_FINAL_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0855_Patient_and_Clinician_Group_Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/SR0855_Ultomiris-Combined_Review.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/SR0855_Ultomiris_Feedback_Redacted.pdf']",Generalized Myasthenia Gravis,Reimburse with clinical criteria and/or conditions,Complete,04-Jun-24,17-Dec-24,SR0855-000
spesolimabOpens in new tab,Spevigo,spesolimab,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0844_Spevigo_Final_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0844_Patient_and_Clinician_Group_Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/SR0844-Spevigo-Combined_Review.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/SR0844-Spevigo-Stakeholder_Feedback.pdf']",generalized pustular psoriasis (GPP),Reimburse with clinical criteria and/or conditions,Complete,04-Jun-24,12-Dec-24,SR0844-000
exagamglogene autotemcelOpens in new tab,Casgevy,exagamglogene autotemcel,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SG0831_Casgevy_FINAL_Recommendation.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SG0831_Patient_Clinician_Group_Input.pdf']",Transfusion-dependent β-thalassemia,Reimburse with clinical criteria and/or conditions,Active,27-May-24,11-Dec-24,SG0831-000
exagamglogene autotemcelOpens in new tab,Casgevy,exagamglogene autotemcel,"['https://www.cda-amc.ca/sites/default/files/DRR/2025/SG0830_Casgevy_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SG0830-Casgevy-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SG0830-Casgevy-Feedback.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SG0830-exa-cel-SCD_Patient_Clinician_Group_Input_Revised.pdf']",Sickle cell disease (SCD),Reimburse with clinical criteria and/or conditions,Complete,27-May-24,11-Dec-24,SG0830-000
ferric carboxymaltoseOpens in new tab,Ferinject,ferric carboxymaltose,"['https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-IDA_FINAL_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/SR0842%20ferric%20carboxymaltose%20IDA%20consolidated%20Patient%20and%20Clinician%20Group%20Input.pdf']",Iron deficiency anemia,Reimburse with clinical criteria and/or conditions,Complete,10-May-24,11-Dec-24,SR0842-000
"HR positive, HER2 negative bre...Opens in new tab",,,['https://www.cda-amc.ca/sites/default/files/DRR/2024/PH0053-HRPositive-HER2-Breast-Cancer.pdf'],"HR positive, HER2 negative breast cancer",,Complete,,10-Dec-24,PH0053-000
Non-small cell lung cancer (NS...Opens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2024/PH0054-FINAL_NSCLC_EGFR.pdf'],Non-small cell lung cancer (NSCLC) with activating epidermal growth factor receptor (EGFR) mutation,,Complete,,05-Dec-24,PH0054-000
Advanced or metastatic gastric...Opens in new tab,,,['https://www.cda-amc.ca/sites/default/files/DRR/2024/PH0051-Rapid_Algorithm_Report.pdf'],Gastric Cancer,,Complete,,03-Dec-24,PH0051-000
everolimusOpens in new tab,N/A,everolimus,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836-Everolimus-SEGA_FINAL_REC.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836-DPI_Table.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836_Reimbursement_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836_consolidated_FEEDBACK_DRAFT_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SX0836-Patient_Clinician_Industry_Group_Input.pdf']",Tuberous Sclerosis Complex (TSC),Reimburse with clinical criteria and/or conditions,Complete,13-Dec-23,03-Dec-24,SX0836-000
enfortumab vedotinOpens in new tab,Padcev,enfortumab vedotin,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0353-Padcev_FINAL_Rec.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PC0353_Padcev-Patient_and_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0353-Padcev_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PC0353-Padcev_Stakeholder_Feedback.pdf']",Metastatic urothelial cancer,Reimburse with clinical criteria and/or conditions,Complete,22-May-24,29-Nov-24,PC0353-000
venetoclaxOpens in new tab,Venclexta,venetoclax,"['https://cda-amc.ca/sites/default/files/DRR/2024/PC0362-Venclexta_Reassessment.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0362_Patient_and_Clinician_Group_Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0362_Venclexta-Combined_Review.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0362_Venclexta-Stakeholder_Feedback.pdf']",Chronic lymphocytic leukemia (CLL),Reimburse with clinical criteria and/or conditions,Complete,22-May-24,28-Nov-24,PC0362-000
fruquintinibOpens in new tab,Fruzaqla,fruquintinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0352_Fruzaqla_FINAL_Recommendation.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0352%20fruquintinib%20Patient%20and%20Clinician%20Group%20Input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0352_fruquintinib-Combined_Review.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0352_fruquintinib-Stakeholder_Feedback.pdf']",Metastatic colorectal cancer (mCRC),Reimburse with clinical criteria and/or conditions,Complete,22-May-24,27-Nov-24,PC0352-000
lisocabtagene maraleucelOpens in new tab,Breyanzi,lisocabtagene maraleucel,"['https://cda-amc.ca/sites/default/files/DRR/2024/PG0358-Breyanz_FINAL_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PG0358-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PG0358-Feedback.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PG0358%20Breyanzi%20-%20Patient%20and%20Clinician%20Group%20Input.pdf']",Relapsed or refractory large B-cell lymphoma,Reimburse with clinical criteria and/or conditions,Complete,08-May-24,27-Nov-24,PG0358-000
EnzalutamideOpens in new tab,N/A,Enzalutamide,"['https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_FINAL_Recommendation.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_DPI_Table.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PX0366-Enzalutamide-nmCSPC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PX0366-Patient_Clinician_input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_consolidated_SF_Redacted.pdf']",Genito-urinary cancer (prostate cancer),Reimburse with clinical criteria and/or conditions,Complete,30-Apr-24,26-Nov-24,PX0366-000
MepolizumabOpens in new tab,N/A,Mepolizumab,"['https://cda-amc.ca/sites/default/files/DRR/2024/SX0839-FINAL_REC.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SX0839-DPI-Table_FINAL.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0839_Clinical_and_Pharmacoeconomic_Combined_Report.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0839_stakeholder_input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SX0839_Feedback_DRAFT_REC.pdf']",Eosinophilic Granulomatosis with Polyangiitis,Reimburse with clinical criteria and/or conditions,Complete,19-Dec-23,25-Nov-24,SX0839-000
Adult Classical Hodgkin Lympho...Opens in new tab,,,['https://cda-amc.ca/sites/default/files/DRR/2024/PH0052-Adult_Classical_Hodgkin_Lymphoma.pdf'],Adult Classical Hodgkin Lymphoma,,Complete,,15-Nov-24,PH0052-000
ciltacabtagene autoleucelOpens in new tab,Carvykti,ciltacabtagene autoleucel,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PG0361REC_Carvykti_Final.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PG0361-Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/PG0361-Carvykti_Feedback.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PG0361_Carvykt_Patient_Clinician_Group_Input.pdf']",Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,18-Apr-24,01-Nov-24,PG0361-000
avapritinibOpens in new tab,Ayvakyt,avapritinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0335-Ayvakyt_FINAL_Rec.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2024/PC0335%20avapritinib%20-%20Patient%20and%20Clinicain%20input.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0335_Ayvakyt-Combined_Review.pdf', 'https://www.cadth.ca/sites/default/files/DRR/2025/PC0335-Ayvakyt-Stakeholder_Feedback.pdf']",Advanced Systemic Mastocytosis,Reimburse with clinical criteria and/or conditions,Complete,19-Apr-24,31-Oct-24,PC0335-000
alectinibOpens in new tab,Alecensaro,alectinib,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0350_FINAL_Recommendation.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0350-Alecensaro_Patient_Clinician_Group_Input.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0350-Alecensaro_Combined_Review.pdf', 'https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0350-Alecensaro_Stakeholder_Feedback.pdf']",ALK-positive NSCLC,Reimburse with clinical criteria and/or conditions,Complete,18-Apr-24,30-Oct-24,PC0350-000
sotaterceptOpens in new tab,Winrevair,sotatercept,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0828REC-Winrevair.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2024/SR0828_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0828-Winrevair_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0828_Winrevair_Stakeholder_Feedback.pdf']",Pulmonary arterial hypertension (WHO group 1),Reimburse with clinical criteria and/or conditions,Complete,08-Apr-24,21-Oct-24,SR0828-000
eplontersenOpens in new tab,Wainua,eplontersen,"['https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0826REC-Wainua_FINAL.pdf', 'https://cadth.ca/sites/default/files/DRR/2024/SR0826_Patient_Clinician_Group_Input.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0826-Wainua_Combined_Review.pdf', 'https://cda-amc.ca/sites/default/files/DRR/2025/SR0826-Wainua_Stakeholder_Feedback.pdf']",Polyneuropathy in hereditary transthyretin-mediated amyloidosis,Reimburse with clinical criteria and/or conditions,Complete,09-Apr-24,21-Oct-24,SR0826-000
