"Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued","Project Number",Manufacturer
Afinitor,Everolimus,"Neuroendocrine tumors (NET) of Gastrointestinal or Lung origin","Reimburse with clinical criteria and/or conditions",Complete,"May 30, 2016","Dec 1, 2016",PC0083-000,"Novartis Pharmaceuticals Canada Inc."
Afinitor,Everolimus,"Pancreatic Neuroendocrine Tumour","Reimburse with clinical criteria and/or conditions",Complete,"Feb 27, 2012","Aug 30, 2012",PC0007-000,"Novartis Pharmaceuticals Canada Inc."
Alecensaro,Alectinib,"Locally advanced or metastatic ALK+ NSCLC (first line)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 15, 2018","Jul 25, 2018",PC0125-000,"Hoffmann-La Roche Limited"
Alecensaro,Alectinib,"Non-Small Cell Lung Cancer","Do not reimburse",Complete,"Oct 3, 2016","May 4, 2017",PC0092-000,"Hoffmann-La Roche Limited"
Alecensaro,Alectinib,"Anaplastic Lymphoma Kinase-Positive, Locally Advanced or Metastatic Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2017","Mar 29, 2018",PC0114-000,"Hoffmann-La Roche Limited"
Alimta,Pemetrexed,"Advanced or Metastatic Non-Squamous Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"May 31, 2013","Nov 19, 2013",PC0027-000,"Eli Lilly Canada"
Alunbrig,Brigatinib,NSCLC,"Do not reimburse",Complete,"Dec 5, 2018","Aug 1, 2019",PC0167-000,"Takeda Canada Inc."
Alunbrig,Brigatinib,"(ALK)-positive locally advanced (not amenable to curative therapy) or metastatic non-small cell lung cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 30, 2020","Apr 21, 2021",PC0230-000,"Takeda Canada Inc."
Arzerra,Ofatumumab,"Chronic Lymphocytic Leukemia","Do not reimburse",Complete,"Apr 14, 2014","Jan 29, 2015",PC0038-000,"GlaxoSmithKline Inc."
Atriance,Nelarabine,,,Cancelled,,,PC0170-000,"Novartis Pharmaceuticals Canada Inc."
Avastin,Bevacizumab,"Cervical Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 27, 2014","Mar 23, 2015",PC0045-000,"Hoffmann-La Roche Limited"
Avastin,Bevacizumab,"Ovarian Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Nov 28, 2014","Jun 4, 2015",PC0047-000,"Hoffmann-La Roche Limited"
Avastin,Bevacizumab,,,Withdrawn,"Dec 16, 2016",,PC0100-000,"Hoffmann-La Roche Limited"
Avastin,Bevacizumab,"Platinum Resistant Ovarian Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 29, 2015","May 5, 2016",PC0066-000,"Hoffmann-La -Roche Limited"
"Avastin (with capecitabine)",Bevacizumab,"Metastatic Colorectal Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 18, 2015","Jul 21, 2015",PC0055-000,"Hoffmann-La Roche Limited"
Bavencio,Avelumab,"metastatic Merkel Cell Carcinoma (mMCC)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 10, 2017","Mar 21, 2018",PC0124-000,"EMD Serono - Pfizer Alliance"
Bavencio,Avelumab,"Urothelial Carcinoma (UC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 18, 2020","Mar 23, 2021",PC0225-000,"EMD Serono - Pfizer Alliance"
Beleodaq,Belinostat,,,Withdrawn,"Jun 29, 2018",,PC0139-000,"Servier Canada Inc."
Besponsa,"Inotuzumab Ozogamicin","Acute Lymphoblastic Leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,"Nov 13, 2017","Jul 6, 2018",PC0121-000,"Pfizer Canada Inc."
Blincyto,Blinatumomab,"Acute Lymphoblastic Leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Aug 24, 2015","Apr 1, 2016",PC0064-000,"Amgen Canada Inc."
Blincyto,Blinatumomab,,,Withdrawn,"Jun 29, 2018",,PC0143-000,"Amgen Canada Inc."
Blincyto,Blinatumomab,"MRD+ ALL Resubmission","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2020","Oct 29, 2020",PC0204-000,"Amgen Canada Inc"
Blincyto,Blinatumomab,"Acute Lymphoblastic Leukemia (pediatric)","Reimburse with clinical criteria and/or conditions",Complete,"Feb 24, 2017","Aug 23, 2017","PC0099 -000","Amgen Canada Inc."
Blincyto,Blinatumomab,"Philadelphia chromosome positive (Ph+) B-cell precursor (BCP) acute lymphoblastic leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 31, 2018","Apr 4, 2019",PC0146-000,"Amgen Canada Inc."
"Blincyto (Resubmission)",Blinatumomab,"Acute Lymphoblastic Leukemia (ALL)","Reimburse with clinical criteria and/or conditions",Complete,"Feb 24, 2017","Aug 31, 2017",PC0097-000,"Amgen Canada Inc."
Bosulif,Bosutinib,"Chronic Myeloid Leukemia","Reimburse with clinical criteria and/or conditions",Complete,"May 30, 2014","Apr 21, 2015",PC0039-000,"Pfizer Canada Inc."
"Bosulif (RFA)",Bosutinib,"Chronic Myeloid Leukemia",N/A,Complete,"Apr 8, 2019",,PA0002-000,"Pfizer Canada Inc."
Cabometyx,Cabozantinib,HCC,"Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2019","Apr 22, 2020",PC0186-000,"Ipsen Biopharmaceuticals Canada Inc."
Cabometyx,Cabozantinib,"Renal Cell Carcinoma (RCC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 17, 2018","Feb 20, 2019",PC0163-000,"Ipsen Biopharmaceuticals Canada Inc."
Calquence,Acalabrutinib,"Chronic Lymphocytic Leukemia (CLL) / Small Lymphocytic Lymphoma (SLL)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 7, 2020","Jan 8, 2021",PC0210-000,"AstraZeneca Canada Inc."
Caprelsa,Vandetanib,"Medullary Thyroid Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 15, 2016","Mar 30, 2017",PC0090-000,"Sanofi Genzyme"
Cotellic,Cobimetinib,"Metastatic melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 11, 2015","Jun 30, 2016",PC0070-000,"Hoffmann-la Roche Ltd."
Cyramza,Ramucirumab,"Metastatic Gastric Cancer or Gastro-Esophageal Junction Adenocarcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 15, 2015","Oct 29, 2015",PC0059-000,"Eli Lilly Canada Inc."
Cyramza,Ramucirumab,,,Cancelled,,,PC0078-000,"Eli Lilly Canada Inc."
Darzalex,Daratumumab,"BMP for Multiple Myeloma (newly diagnosed)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 4, 2019","Aug 29, 2019",PC0148-000,"Janssen Inc."
Darzalex,Daratumumab,"Multiple Myeloma (second-line)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 3, 2017","Oct 5, 2017",PC0104-000,"Janssen Inc."
Darzalex,Daratumumab,"Multiple Myeloma","Do not reimburse",Complete,"Apr 21, 2016","Dec 1, 2016",PC0079-000,"Janssen Canada Inc."
Darzalex,Daratumumab,"Rd for MM","Reimburse with clinical criteria and/or conditions",Complete,"Jul 17, 2019","Mar 5, 2020",PC0189-000,"Janssen Inc."
Daurismo,Glasdegib,"Acute Myeloid Leukemia (AML)","Do not reimburse",Complete,"May 6, 2020","Jan 8, 2021",PC0207-000,"Pfizer Canada ULC"
Erbitux,Cetuximab,"Metastatic Colorectal Cancer","Do not reimburse",Complete,"Jun 10, 2013","Jan 10, 2014",PC0031-000,"Bristol-Myers Squibb Canada"
Erbitux,Cetuximab,,,Cancelled,,,PC0128-000,"Eli Lilly Canada Inc."
Erivedge,Vismodegib,"Basal Cell Carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Jun 14, 2013","Jan 10, 2014",PC0015-000,"Hoffmann-La Roche Limited"
Erleada,Apalutamide,"non-metastatic castrate resistant prostate cancer (nm-CRPC)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 16, 2018","Nov 1, 2018",PC0133-000,"Janssen Inc."
Erleada,Apalutamide,"metastatic castration-sensitive prostate cancer (mCSPC)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 15, 2019","Apr 22, 2020",PC0200-000,"Janssen Inc."
Faslodex,Fulvestrant,"Locally advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jul 17, 2017","Feb 1, 2018",PC0110-000,"AstraZeneca Canada Inc."
Folotyn,Pralatrexate,"Peripheral T-Cell Lymphoma (PTCL)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 1, 2018","Apr 4, 2019",PC0138-000,"Servier Canada Inc."
Gazyva,Obinutuzumab,"Follicular Lymphoma (previously untreated)","Do not reimburse",Complete,"Mar 15, 2018","Nov 1, 2018",PC0126-000,"Hoffmann-La Roche Limited"
Gazyva,Obinutuzumab,"Follicular Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 4, 2016","Jun 2, 2017",PC0091-000,"Hoffmann-La Roche Limited"
Gazyva,Obinutuzumab,"Chronic Lymphocytic Leukemia",Reimburse,Complete,"Aug 11, 2014","Jan 27, 2015",PC0041-000,"Hoffmann-La Roche Limited"
Giotrif,Afatinib,"Advanced or Metastatic Non-Small Cell Lung Cancer",Reimburse,Complete,"Jun 7, 2013","May 2, 2014",PC0032-000,"Boehringer Ingelheim Canada Ltd."
Halaven,"Eribulin Mesylate","Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 9, 2012","Aug 2, 2012",PC0005-000,"Eisai Ltd."
Ibrance,Palbociclib,,,Withdrawn,"Nov 11, 2015",,PC0068-000,"Pfizer Canada Inc."
"Ibrance (with Faslodex)","Palbociclib (with Fulvestrant)","Palbociclib (Ibrance) in combination with fulvestrant for hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Sep 28, 2018","May 3, 2019",PC0150-000,"Pfizer Canada Inc."
"Ibrance Resubmission",Palbociclib,"Advanced breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jun 10, 2016","Nov 21, 2016",PC0093-000,"Pfizer Canada Inc."
Iclusig,Ponatinib,"Chronic Myeloid Leukemia/ Acute Lymphoblastic Leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Mar 13, 2015","Oct 1, 2015","PC0056 -000","ARIAD Pharmaceuticals, Inc."
Idhifa,Enasidenib,"Acute myeloid leukemia (AML)","Do not reimburse",Complete,"Apr 5, 2019","Oct 31, 2019",PC0144-000,"Celgene Inc."
Imbruvica,Ibrutinib,"Mantle Cell Lymphoma (relapsed/refractory)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 29, 2016","Jul 19, 2016",PC0073-000,"Janssen Inc."
Imbruvica,Ibrutinib,"Chronic Lymphocytic Leukemia (previously untreated)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 20, 2016","Nov 3, 2016",PC0085-000,"Janssen Canada Inc."
Imbruvica,Ibrutinib,"Chronic Lymphocytic Leukemia/ Small Lymphocytic Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 15, 2014","Mar 5, 2015",PC0043-000,"Janssen Inc."
Imbruvica,Ibrutinib,"Waldenstrom's Macroglobulinemia","Do not reimburse",Complete,"Apr 21, 2016","Nov 3, 2016",PC0082-000,"Janssen Canada Inc."
Imfinzi,Durvalumab,"Unresectable Non-Small Cell Lung Cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 21, 2018","May 3, 2019",PC0131-000,"AstraZeneca Canada"
Inlyta,Axitinib,"Metastatic Renal Cell Carcinoma",Reimburse,Complete,"Aug 16, 2012","Mar 7, 2013",PC0013-000,"Pfizer Canada Inc."
"Inlyta (RFA)",Axitinib,"Metastatic Renal Cell Carcinoma",N/A,Complete,"Apr 18, 2017",,PA0001-000,"Pfizer Canada Inc."
Inqovi,Decitabine-Cedazuridine,"Myelodysplastic Syndromes (MDS)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 9, 2020","Sep 22, 2021",PC0228-000,"Taiho Pharma Canada, Inc."
Istodax,Romidepsin,"Peripheral T-Cell Lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 1, 2014","May 19, 2015",PC0048-000,"Celgene Inc."
Jakavi,Ruxolitinib,Myelofibrosis,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 25, 2012","Jan 14, 2013",PC0012-000,"Novartis Pharmaceuticals Canada Inc."
Jakavi,Ruxolitinib,"Polycythemia vera","Reimburse with clinical criteria and/or conditions",Complete,"Aug 27, 2015","Mar 3, 2016",PC0065-000,"Novartis Pharmaceuticals Canada Inc."
Kadcyla,"Trastuzumab Emtansine","Early Breast Cancer (EBC)",Reimburse,Complete,"Jul 2, 2019","Jan 22, 2020",PC0182-000,"Hoffmann-La Roche Limited"
Kadcyla,"Trastuzumab emtansine","Advanced or Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 15, 2013","Jan 10, 2014",PC0024-000,"Hoffman-La Roche Ltd."
Keytruda,Pembrolizumab,"classical Hodgkin Lymphoma (cHL)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 7, 2017","Jan 5, 2018",PC0109-000,"Merck Canada Inc."
Keytruda,Pembrolizumab,"Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Apr 21, 2016","Nov 3, 2016",PC0077-000,"Merck Canada Inc."
Keytruda,Pembrolizumab,"Squamous NSCLC","Reimburse with clinical criteria and/or conditions",Complete,"Feb 8, 2019","Jan 3, 2020",PC0176-000,"Merck Canada"
Keytruda,Pembrolizumab,"Advanced non-small cell lung carcinoma (first line)","Reimburse with clinical criteria and/or conditions",Complete,"Dec 12, 2016","Aug 23, 2017",PC0101-000,"Merck Canada Inc."
Keytruda,Pembrolizumab,"head and neck squamous cell carcinoma (HNSCC)","Reimburse with clinical criteria and/or conditions",Complete,"May 1, 2020","Dec 22, 2020",PC0216-000,"Merck Canada"
Keytruda,Pembrolizumab,"Nonsquamous NSCLC","Reimburse with clinical criteria and/or conditions",Complete,"Sep 14, 2018","May 31, 2019",PC0153-000,"Merck Canada"
Keytruda,Pembrolizumab,"MUC First line","Do not reimburse",Complete,"Feb 20, 2019","Oct 3, 2019",PC0177-000,"Merck Canada"
Keytruda,Pembrolizumab,"Melanoma Adjuvant Treatment","Reimburse with clinical criteria and/or conditions",Complete,"Dec 13, 2018","Aug 1, 2019",PC0168-000,"Merck Canada"
Keytruda,Pembrolizumab,"Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 16, 2015","Nov 16, 2015",PC0058-000,"Merck Canada Inc."
Keytruda,Pembrolizumab,"For locally advanced or metastatic urothelial carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Jul 24, 2017","Mar 2, 2018",PC0117-000,"Merck Canada Inc."
Keytruda,Pembrolizumab,"Renal Cell Carcinoma (RCC)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 2, 2019","Apr 2, 2020",PC0185-000,"Merck Canada"
Kisqali,Ribociclib,"Advanced or Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 17, 2017","Apr 18, 2018",PC0112-000,"Novartis Pharmaceuticals Canada Inc."
Kisqali,Ribociclib,"HR+, HER2- advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 26, 2019","Jun 4, 2020",PC0194-000,"Novartis Pharmaceuticals Canada Inc."
Kisqali,"Ribociclib with Fulvestrant","+Fulvestrant for HR+, HER2- advanced or metastatic breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 26, 2019","Apr 22, 2020",PC0195-000,"Novartis Pharmaceuticals Canada Inc."
Kyprolis,Carfilzomib,"Multiple Myeloma (relapsed)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 9, 2016","Mar 30, 2017",PC0084-000,"Amgen Canada Inc."
"Kyprolis (with lenalidomide)","Carfilzomib (with lenalidomide)","Multiple Myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 11, 2015","Jun 21, 2016",PC0067-000,"Amgen Canada Inc."
Lartruvo,Olaratumab,"Advanced Soft Tissue Sarcoma","Reimburse with clinical criteria and/or conditions",Complete,"Oct 26, 2017","Apr 18, 2018",PC0111-000,"Eli Lilly Canada Inc."
Lenvima,Lenvatinib,"Differentiated Thyroid Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2016","Sep 20, 2016",PC0080-000,"Eisai Limited"
Lenvima,Lenvatinib,"Hepatocellular Carcinoma (HCC)","Reimburse with clinical criteria and/or conditions",Complete,"Feb 8, 2019","Jul 24, 2019",PC0175-000,"Eisai Limited"
Lenvima,Lenvatinib,"Renal Cell Carcinoma (RCC)","Do not reimburse",Complete,"Jun 8, 2018","Jan 4, 2019","PC0140 -000","Eisai Limited"
Libtayo,Cemiplimab,"Advanced Cutaneous Squamous Cell Carcinoma (CSCC)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 9, 2019","Jan 22, 2020",PC0187-000,"Sanofi Genzyme"
Lonsurf,"Trifluridine and Tipiracil","mCRC Resubmission","Do not reimburse",Complete,"Jan 21, 2019","Aug 29, 2019",PC0173-000,"Taiho Pharma Canada, Inc."
Lonsurf,Trifluridine-Tipiracil,"Gastric Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Sep 3, 2019","Mar 24, 2020",PC0197-000,"Taiho Pharma Canada, Inc."
Lonsurf,"Trifluridine and Tipiracil","Metastatic Colorectal Cancer","Do not reimburse",Complete,"Nov 6, 2017","Jul 6, 2018",PC0122-000,"Taiho Pharma Canada, Inc."
Lorbrena,Lorlatinib,"Non-Small Cell Lung Cancer (NSCLC)","Do not reimburse",Complete,"Jun 11, 2019","Jan 30, 2020",PC0183-000,"Pfizer Canada ULC"
Lutathera,"Lutetium Lu 177 dotatate","Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 30, 2018","Aug 1, 2019",PC0142-000,"Advanced Accelerator Applications"
Lynparza,Olaparib,"metastatic castration-resistant prostate cancer (mCRPC)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 22, 2020","Apr 21, 2021",PC0223-000,"AstraZeneca Canada Inc."
Lynparza,Olaparib,"Ovarian Cancer","Do not reimburse",Complete,"Apr 1, 2016","Sep 29, 2016",PC0081-000,"Astra Zeneca Canada Inc"
Lynparza,Olaparib,"Newly Diagnosed OC","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2019","Dec 5, 2019",PC0174-000,"AstraZeneca Canada"
"Lynparza (Resubmission)",Olaparib,"Ovarian Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 17, 2017","Sep 20, 2017",PC0103-000,"AstraZeneca Canada Inc."
Mekinist,Trametinib,"Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"May 6, 2013","Oct 22, 2013",PC0030-000,GlaxoSmithKline
Mvasi,Bevacizumab,"mCRC NSCLC Biosimilar",N/A,Complete,"Oct 3, 2018",,PC0158-000,"Amgen Canada Inc."
Mylotarg,"Gemtuzumab Ozogamicin","Acute Myeloid Leukemia (AML)",Reimburse,Complete,"Aug 9, 2019","Apr 2, 2020",PC0190-000,"Pfizer Canada ULC"
Nerlynx,Neratinib,"ERBB2-positive breast cancer","Do not reimburse",Complete,"Apr 18, 2019","Dec 5, 2019",PC0172-000,"Knight Therapeutics Inc."
Nexavar,Sorafenib,"Metastatic Progressive Differentiated Thyroid Carcinoma (DTC)","Do not reimburse",Complete,"Dec 19, 2014","Jul 16, 2015",PC0049-000,"Bayer Inc."
Ninlaro,Ixazomib,"Multiple Myeloma (2nd-beyond)","Do not reimburse",Complete,"Nov 30, 2018","Jul 5, 2019",PC0164-000,"Takeda Canada Inc."
Ninlaro,Ixazomib,"Multiple Myeloma","Do not reimburse",Complete,"Dec 16, 2016","Jun 29, 2017",PC0088-000,"Takeda Pharmaceutical Company Limited"
Nubeqa,Darolutamide,"non-metastatic castration resistant prostate cancer (nmCRPC)","Reimburse with clinical criteria and/or conditions",Complete,"Aug 27, 2019","Apr 22, 2020",PC0196-000,"Bayer Inc."
Odomzo,Sonidegib,"Basal Cell Carcinoma","Do not reimburse",Complete,"Jun 19, 2020","Apr 29, 2021",PC0215-000,"Sun Pharma Canada Inc."
Ogivri,Trastuzumab,,,Withdrawn,"Dec 18, 2018",,PC0169-000,"BGP Pharma ULC"
Onivyde,"Nanoliposomal Irinotecan",,,Cancelled,,,PC0096-000,"Baxalta Canada Corporation"
Onivyde,"Irinotecan Liposome","Metastatic Pancreatic Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Apr 27, 2017","Jan 5, 2018",PC0107-000,"Shire Canada"
Opdivo,Nivolumab,"Squamous Cell Carcinoma of Head and Neck (SCCHN)","Reimburse with clinical criteria and/or conditions",Complete,"Jan 31, 2017","Aug 31, 2017",PC0095-000,"Bristol-Myers Squibb Canada"
Opdivo,Nivolumab,"Metastatic Hepatocellular Carcinoma (HCC)","Do not reimburse",Complete,"May 8, 2018","Nov 29, 2018",PC0134-000,"Bristol-Myers Squibb Canada"
Opdivo,Nivolumab,"Melanoma Adjuvant Therapy","Reimburse with clinical criteria and/or conditions",Complete,"Aug 27, 2018","Mar 7, 2019",PC0147-000,"Bristol-Myers Squibb Canada"
Opdivo,Nivolumab,"Metastatic non small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 29, 2015","Jun 3, 2016",PC0069-000,"Bristol-Myers Squibb Canada"
Opdivo,Nivolumab,"classical Hodgkin Lymphoma (cHL) after failure of ASCT","Reimburse with clinical criteria and/or conditions",Complete,"Sep 29, 2017","May 3, 2018",PC0120-000,"Bristol-Myers Squibb"
Opdivo,Nivolumab,"Metastatic Renal Cell Carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Feb 24, 2016","Sep 1, 2016",PC0074-000,"Bristol Myers-Squibb Canada"
Opdivo,Nivolumab,"Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 13, 2015","Apr 1, 2016",PC0063-000,"Bristol-Myers Squibb Canada"
"Opdivo & Yervoy in combo","Nivolumab & Ipilimumab in combo","Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 30, 2016","Nov 30, 2017",PC0098-000,"Bristol-Myers Squibb Canada"
"Opdivo in combination with Yervoy","Nivolumab in combination with Ipilimumab","Advanced or Metastatic Renal Cell Carcinoma (RCC).","Reimburse with clinical criteria and/or conditions",Complete,"Apr 26, 2018","Nov 1, 2018",PC0132-000,"Bristol-Myers Squibb"
"Opdivo in combination with Yervoy","Nivolumab in combination with Ipilimumab",NSCLC,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 23, 2020","Mar 4, 2021",PC0218-000,"Bristol-Myers Squibb"
"Perjeta Herceptin Combo Pack",Pertuzumab,"Metastatic Breast Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Nov 2, 2012","Aug 1, 2013",PC0018-000,"Hoffmann-La Roche Limited"
"Perjeta or Perjeta-Herceptin Combo Pack",Pertuzumab,"Neoadjuvant Breast Cancer","Do not reimburse",Complete,"Dec 19, 2014","Jul 16, 2015",PC0050-000,"Hoffmann-La Roche Limited"
"Perjeta-Herceptin Combo Pack","Pertuzumab-Trastuzumab Combo Pack","Early Breast Cancer","Do not reimburse",Complete,"Apr 9, 2018","Nov 29, 2018",PC0127-000,"Hoffmann-La Roche Limited"
Polivy,"Polatuzumab Vedotin","Diffuse large B-cell lymphoma (DLBCL)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 29, 2020","Apr 21, 2021",PC0227-000,"Hoffmann-La Roche Limited"
Pomalyst,Pomalidomide,"Multiple Myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Jan 13, 2014","Jul 31, 2014",PC0036-000,"Celgene Inc."
Pomalyst,Pomalidomide,"Multiple Myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Mar 15, 2019","Sep 18, 2019",PC0165-000,"Celgene Inc."
Proleukin,"Aldesleukin (IL-2)","In-transit Melanoma",Reimburse,Complete,"Jan 30, 2015","Jun 22, 2015",PC0051-000,"Novartis Pharmaceuticals Canada Inc."
Revlimid,Lenalidomide,"Multiple Myeloma (as maintenance therapy)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 5, 2013","Oct 22, 2013",PC0029-000,"Celgene Inc."
Revlimid,Lenalidomide,"Multiple Myeloma (+bortezomib+dex)","Reimburse with clinical criteria and/or conditions",Complete,"Dec 21, 2018","Jun 19, 2019",PC0141-000,"Celgene Inc."
Revlimid,Lenalidomide,"Multiple Myeloma, newly diagnosed","Reimburse with clinical criteria and/or conditions",Complete,"May 4, 2015","Dec 3, 2015",PC0061-000,"Celgene Inc."
Rituxan,Rituximab,"Acute Lymphoblastic Leukemia","Do not reimburse",Complete,"Feb 13, 2017","Aug 31, 2017",PC0102-000,"Hoffmann-La Roche Limited"
Rozlytrek,Entrectinib,"ROS1-positive NSCLC","Reimburse with clinical criteria and/or conditions",Complete,"Jan 8, 2020","Jan 27, 2021",PC0206-000,"Hoffmann-La Roche Ltd."
Rydapt,Midostaurin,"Systemic Mastocytosis","Do not reimburse",Complete,"Aug 13, 2019","Apr 2, 2020",PC0193-000,"Novartis Pharmaceuticals Canada Inc."
Rydapt,Midostaurin,"Acute Myeloid Leukemia",Reimburse,Complete,"Jun 12, 2017","Dec 19, 2017",PC0108-000,"Novartis Pharmaceuticals Canada Inc."
