Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
teriflunomide,N/A,teriflunomide,https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-DPI_Table.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0752-Supplemental_Material.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Feedback_%20DRAFT_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Feedback_input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SX0752_Teriflunomide_FMEC_Recommendation.pdf,Multiple Sclerosis (MS),Reimburse with clinical criteria and/or conditions,Complete,"Jun 21, 2024","Feb 4, 2025",SX0752-000
nivolumab ipilimumab,N/A,nivolumab ipilimumab,https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-DPI_table.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0371-Supplemental_Material.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_FMEC_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_Feedback_%20DRAFT_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PX0371_input.pdf,Melanoma,Reimburse with clinical criteria and/or conditions,Complete,"Jun 25, 2024","Feb 4, 2025",PX0371-000
chronic lymphocytic leukemia cll,N/A,N/A,https://www.cda-amc.ca/sites/default/files/DRR/2025/PH0063-CLL_Rapid_Algorithm_Report.pdf,Chronic lymphocytic leukemia (CLL),N/A,Complete,N/A,"Jan 31, 2025",PH0063-000
pembrolizumab,Keytruda,pembrolizumab,https://cda-amc.ca/sites/default/files/DRR/2025/PC0377-Keytruda_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0377-Keytruda_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0377_Keytruda_FINAL_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0377_Patient_and_Clinician_Group_Input.pdf,Unresectable or metastatic MSI-H or dMMR solid tumors,Reimburse with clinical criteria and/or conditions,Complete,"Jul 16, 2024","Jan 31, 2025",PC0377-000
pembrolizumab,Keytruda,pembrolizumab,https://cda-amc.ca/sites/default/files/DRR/2025/PC0369-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0369-Feedback_Draft_Rec.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0369_Combined_Patient_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0369-Keytruda-NSCLC_FINAL_REC.pdf,Non-small cell lung cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,"Jul 15, 2024","Jan 30, 2025",PC0369-000
zolbetuximab,Vyloy,zolbetuximab,https://cadth.ca/sites/default/files/DRR/2024/PC0338_zolbetuximab-Patient_Clinician_Input.pdf; https://cadth.ca/sites/default/files/DRR/2025/PC0338-Vyloy_Combined_Review.pdf; https://cadth.ca/sites/default/files/DRR/2025/PC0338-Vyloy_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0338_Vyloy_Final_Recommendation.pdf,Gastric or gastroesophageal junction (GEJ) adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Jun 28, 2024","Jan 29, 2025",PC0338-000
prostate cancer,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0057-Prostate_Cancer_Rapid_Algorithm.pdf,Prostate cancer,N/A,Complete,N/A,"Jan 22, 2025",PH0057-000
anaplastic lymphoma kinase alk positive non small cell lung cancer nsclc,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2025/PH0058-ALK_Positive_NSCLC.pdf,Anaplastic Lymphoma Kinase (ALK) -Positive Non-small Cell Lung Cancer (NSCLC),N/A,Complete,N/A,"Jan 21, 2025",PH0058-000
amivantamab,Rybrevant,amivantamab,https://cda-amc.ca/sites/default/files/DRR/2025/PC0376_Rybrevant_FINAL_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0376_Patient_and_Clinician_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0376-Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0376-Rybrevant_Draft_Rec_Feedback.pdf,Locally advanced or metastatic non-small cell lung cancer (NSCLC),Reimburse with clinical criteria and/or conditions,Complete,"Jun 21, 2024","Jan 10, 2025",PC0376-000
erdafitinib,Balversa,erdafitinib,https://cda-amc.ca/sites/default/files/DRR/2025/PC0375-Balversa_Final_Recommendation.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0375_Combined_Patient_and_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0375-Balversa_Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0375-Balversa_Stakeholder_Feedback.pdf,locally advanced unresectable or metastatic urothelial carcinoma (UC),Reimburse with clinical criteria and/or conditions,Complete,"Jun 14, 2024","Jan 9, 2025",PC0375-000
momelotinib,Ojjaara,momelotinib,https://www.cadth.ca/sites/default/files/DRR/2024/PC0355_Patient_and_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0355-Ojjaara_Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0355-Ojjaara_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0355_Ojjaara_FINAL_REC.pdf,Myelofibrosis,Reimburse with clinical criteria and/or conditions,Complete,"Jun 19, 2024","Jan 8, 2025",PC0355-000
ravulizumab,Ultomiris,ravulizumab,https://www.cadth.ca/sites/default/files/DRR/2024/SR0855_Patient_and_Clinician_Group_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/SR0855_Ultomiris-Combined_Review.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/SR0855_Ultomiris_Feedback_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0855_Ultomiris_FINAL_Recommendation.pdf,Generalized Myasthenia Gravis,Reimburse with clinical criteria and/or conditions,Complete,"Jun 4, 2024","Dec 17, 2024",SR0855-000
spesolimab,Spevigo,spesolimab,https://www.cadth.ca/sites/default/files/DRR/2024/SR0844_Patient_and_Clinician_Group_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/SR0844-Spevigo-Combined_Review.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/SR0844-Spevigo-Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0844_Spevigo_Final_Recommendation.pdf,generalized pustular psoriasis (GPP),Reimburse with clinical criteria and/or conditions,Complete,"Jun 4, 2024","Dec 12, 2024",SR0844-000
exagamglogene autotemcel,Casgevy,exagamglogene autotemcel,https://cda-amc.ca/sites/default/files/DRR/2025/SG0830-Casgevy-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SG0830-Casgevy-Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SG0830-exa-cel-SCD_Patient_Clinician_Group_Input_Revised.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SG0830_Casgevy_FINAL_Recommendation.pdf,Sickle cell disease (SCD),Reimburse with clinical criteria and/or conditions,Complete,"May 27, 2024","Dec 11, 2024",SG0830-000
ferric carboxymaltose,Ferinject,ferric carboxymaltose,https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0842-Ferinject-IDA_FINAL_REC.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/SR0842%20ferric%20carboxymaltose%20IDA%20consolidated%20Patient%20and%20Clinician%20Group%20Input.pdf,Iron deficiency anemia,Reimburse with clinical criteria and/or conditions,Complete,"May 10, 2024","Dec 11, 2024",SR0842-000
hr positive her2 negative breast cancer,N/A,N/A,https://www.cda-amc.ca/sites/default/files/DRR/2024/PH0053-HRPositive-HER2-Breast-Cancer.pdf,"HR positive, HER2 negative breast cancer",N/A,Complete,N/A,"Dec 10, 2024",PH0053-000
non small cell lung cancer nsclc activating epidermal growth factor receptor egfr mutation,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2024/PH0054-FINAL_NSCLC_EGFR.pdf,Non-small cell lung cancer (NSCLC) with activating epidermal growth factor receptor (EGFR) mutation,N/A,Complete,N/A,"Dec 5, 2024",PH0054-000
advanced or metastatic gastric gastroesophageal junction or esophageal cancer,N/A,N/A,https://www.cda-amc.ca/sites/default/files/DRR/2024/PH0051-Rapid_Algorithm_Report.pdf,Gastric Cancer,N/A,Complete,N/A,"Dec 3, 2024",PH0051-000
everolimus,N/A,everolimus,https://cda-amc.ca/sites/default/files/DRR/2024/SX0836-Patient_Clinician_Industry_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836-DPI_Table.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836-Everolimus-SEGA_FINAL_REC.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836_Reimbursement_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0836_consolidated_FEEDBACK_DRAFT_REC.pdf,Tuberous Sclerosis Complex (TSC),Reimburse with clinical criteria and/or conditions,Complete,"Dec 13, 2023","Dec 3, 2024",SX0836-000
enfortumab vedotin,Padcev,enfortumab vedotin,https://cda-amc.ca/sites/default/files/DRR/2024/PC0353_Padcev-Patient_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0353-Padcev_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0353-Padcev_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0353-Padcev_FINAL_Rec.pdf,Metastatic urothelial cancer,Reimburse with clinical criteria and/or conditions,Complete,"May 22, 2024","Nov 29, 2024",PC0353-000
venetoclax,Venclexta,venetoclax,https://cda-amc.ca/sites/default/files/DRR/2024/PC0362-Venclexta_Reassessment.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PC0362_Patient_and_Clinician_Group_Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0362_Venclexta-Combined_Review.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0362_Venclexta-Stakeholder_Feedback.pdf,Chronic lymphocytic leukemia (CLL),Reimburse with clinical criteria and/or conditions,Complete,"May 22, 2024","Nov 28, 2024",PC0362-000
fruquintinib,Fruzaqla,fruquintinib,https://www.cadth.ca/sites/default/files/DRR/2024/PC0352%20fruquintinib%20Patient%20and%20Clinician%20Group%20Input.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0352_fruquintinib-Combined_Review.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0352_fruquintinib-Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0352_Fruzaqla_FINAL_Recommendation.pdf,Metastatic colorectal cancer (mCRC),Reimburse with clinical criteria and/or conditions,Complete,"May 22, 2024","Nov 27, 2024",PC0352-000
lisocabtagene maraleucel,Breyanzi,lisocabtagene maraleucel,https://cda-amc.ca/sites/default/files/DRR/2024/PG0358-Breyanz_FINAL_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PG0358-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PG0358-Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2024/PG0358%20Breyanzi%20-%20Patient%20and%20Clinician%20Group%20Input.pdf,Relapsed or refractory large B-cell lymphoma,Reimburse with clinical criteria and/or conditions,Complete,"May 8, 2024","Nov 27, 2024",PG0358-000
enzalutamide,N/A,Enzalutamide,https://cda-amc.ca/sites/default/files/DRR/2024/PX0366-Enzalutamide-nmCSPC.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PX0366-Patient_Clinician_input.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_DPI_Table.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_FINAL_Recommendation.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/PX0366_Enzalutamide_consolidated_SF_Redacted.pdf,Genito-urinary cancer (prostate cancer),Reimburse with clinical criteria and/or conditions,Complete,"Apr 30, 2024","Nov 26, 2024",PX0366-000
mepolizumab,N/A,Mepolizumab,https://cda-amc.ca/sites/default/files/DRR/2024/SX0839-DPI-Table_FINAL.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SX0839-FINAL_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SX0839_Feedback_DRAFT_REC.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0839_Clinical_and_Pharmacoeconomic_Combined_Report.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SX0839_stakeholder_input.pdf,Eosinophilic Granulomatosis with Polyangiitis,Reimburse with clinical criteria and/or conditions,Complete,"Dec 19, 2023","Nov 25, 2024",SX0839-000
adult classical hodgkin lymphoma,N/A,N/A,https://cda-amc.ca/sites/default/files/DRR/2024/PH0052-Adult_Classical_Hodgkin_Lymphoma.pdf,Adult Classical Hodgkin Lymphoma,N/A,Complete,N/A,"Nov 15, 2024",PH0052-000
ciltacabtagene autoleucel,Carvykti,ciltacabtagene autoleucel,https://cda-amc.ca/sites/default/files/DRR/2025/PG0361-Carvykti_Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PG0361-Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PG0361REC_Carvykti_Final.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PG0361_Carvykt_Patient_Clinician_Group_Input.pdf,Relapsed or refractory multiple myeloma,Reimburse with clinical criteria and/or conditions,Complete,"Apr 18, 2024","Nov 1, 2024",PG0361-000
avapritinib,Ayvakyt,avapritinib,https://www.cadth.ca/sites/default/files/DRR/2024/PC0335%20avapritinib%20-%20Patient%20and%20Clinicain%20input.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0335-Ayvakyt-Stakeholder_Feedback.pdf; https://www.cadth.ca/sites/default/files/DRR/2025/PC0335_Ayvakyt-Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0335-Ayvakyt_FINAL_Rec.pdf,Advanced Systemic Mastocytosis,Reimburse with clinical criteria and/or conditions,Complete,"Apr 19, 2024","Oct 31, 2024",PC0335-000
alectinib,Alecensaro,alectinib,https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0350-Alecensaro_Patient_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0350_FINAL_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0350-Alecensaro_Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0350-Alecensaro_Stakeholder_Feedback.pdf,ALK-positive NSCLC,Reimburse with clinical criteria and/or conditions,Complete,"Apr 18, 2024","Oct 30, 2024",PC0350-000
sotatercept,Winrevair,sotatercept,https://cda-amc.ca/sites/default/files/DRR/2024/SR0828_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0828-Winrevair_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0828_Winrevair_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0828REC-Winrevair.pdf,Pulmonary arterial hypertension (WHO group 1),Reimburse with clinical criteria and/or conditions,Complete,"Apr 8, 2024","Oct 21, 2024",SR0828-000
eplontersen,Wainua,eplontersen,https://cadth.ca/sites/default/files/DRR/2024/SR0826_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0826-Wainua_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0826-Wainua_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0826REC-Wainua_FINAL.pdf,Polyneuropathy in hereditary transthyretin-mediated amyloidosis,Reimburse with clinical criteria and/or conditions,Complete,"Apr 9, 2024","Oct 21, 2024",SR0826-000
clindamycin plus benzoyl peroxide and adapalene,Cabtreo,clindamycin plus benzoyl peroxide and adapalene,https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0794_Cabtreo_Patient_and_Clinician_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0794_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0794-Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0794_Cabtreo_Stakeholder_Feedback.pdf,acne vulgaris,Reimburse with clinical criteria and/or conditions,Complete,"Mar 8, 2024","Oct 18, 2024",SR0794-000
danicopan,Voydeya,danicopan,https://cda-amc.ca/sites/default/files/DRR/2024/SR0815-Voydeya_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0815_Voydeya_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0815_Voydeya_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0815_Voydeya_Recommendation.pdf,Paroxysmal nocturnal hemoglobinuria (PNH),Reimburse with clinical criteria and/or conditions,Complete,"Apr 4, 2024","Oct 18, 2024",SR0815-000
elexacaftortezacaftorivacaftor and ivacaftor,Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,https://cda-amc.ca/sites/default/files/DRR/2025/SR0837-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0837-Trikafta%20_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0837_Trikaft_Patient_and_Clinician_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0837_Trikafta_%20Final_Recommendation.pdf,"Cystic fibrosis, F508del or responsive CFTR mutation,  2 years and older",Reimburse with clinical criteria and/or conditions,Complete,"Mar 5, 2024","Oct 17, 2024",SR0837-000
burosumab,Crysvita,burosumab,https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0818_Crysvita_Patient_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/SR0818_Reassessment_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0818-Crysvita_Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/SR0818-Crysvita_Stakeholder_Feedback.pdf,Treatment of X-Linked Hypophosphatemia,Reimburse with clinical criteria and/or conditions,Complete,"Jan 2, 2024","Oct 10, 2024",SR0818-000
lebrikizumab,Ebglyss,lebrikizumab,https://cda-amc.ca/sites/default/files/DRR/2024/SR0819_Ebglyss_FINAL_REC.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0819_Ebglyss_Patient_Clinician_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0819-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0819-Feedback.pdf,atopic dermatitis,Do not reimburse,Complete,"Nov 1, 2023","Oct 9, 2024",SR0819-000
ivosidenib,Tibsovo,ivosidenib,https://cda-amc.ca/sites/default/files/DRR/2024/PC0349-Tibsovo_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0349_Tibsovo_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0349_Tibsovo_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0349_Final_Recommendation.pdf,Acute myeloid leukemia (AML),Reimburse with clinical criteria and/or conditions,Complete,"Mar 19, 2024","Oct 4, 2024",PC0349-000
pembrolizumab,Keytruda,pembrolizumab,https://cda-amc.ca/sites/default/files/DRR/2025/PC0356-Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0356-Keytruda-Gastric_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0356-Keytruda-Gastric_Patient_Clinician_Group.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0356_Final_Recommendation.pdf,Gastric or gastroesophageal junction (GEJ) adenocarcinoma,Reimburse with clinical criteria and/or conditions,Complete,"Mar 13, 2024","Oct 4, 2024",PC0356-000
abemaciclib,Verzenio,abemaciclib,https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0345_Final_Recommendation.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0345_Verzenio_Patient_and_Clinician_Group_Input.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0345-Verzenio-Combined_Review.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2025/PC0345-Verzenio-Stakeholder_Feedback.pdf,"Adjuvant treatment of HR-positive, HER2-negative early breast cancer",Reimburse with clinical criteria and/or conditions,Complete,"Feb 9, 2024","Oct 3, 2024",PC0345-000
osimertinib,Tagrisso,osimertinib,https://cda-amc.ca/sites/default/files/DRR/2024/PC0336-Tagrisso_Patient_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0336-Tagrisso_Combined_Review.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/PC0336-Tagrisso_Stakeholder_Feedback.pdf; https://www.cda-amc.ca/sites/default/files/DRR/2024/PC0336_Final_Recommendation.pdf,Non-small cell lung cancer,Reimburse with clinical criteria and/or conditions,Complete,"Dec 11, 2023","Oct 3, 2024",PC0336-000
baricitinib,Olumiant,baricitinib,https://cda-amc.ca/sites/default//files/DRR/2025/SR0843-Olumiant-Stakeholder-Feedback.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0843REC-Olumiant.pdf; https://cda-amc.ca/sites/default/files/DRR/2024/SR0843_Patient_and_Clinician_Group_Input.pdf; https://cda-amc.ca/sites/default/files/DRR/2025/SR0843-Olumiant-Combined_Review.pdf,"Alopecia areata, severe",Reimburse with clinical criteria and/or conditions,Complete,"Mar 4, 2024","Sep 13, 2024",SR0843-000
